سأخبرك.	I will tell you...
‎إنه من أفضل النوادي في إنجلترا ‏	- Thank you.
‫ - فيرا ‫	-Vera!
- من المتحدث؟	-Who is it?
أين كنتَ؟ !	- Where have you been?
غرفتك ؟	Your room?
-ماذا حدث لكِ؟	- What happened to you?
-هل سمعتم شيئاً ؟ -نعم ، يبدو كأنه صوت إطلاق رصاص	- Did you hear anything?
"فيرا "	Vera!
"فيرا "	Vera!
ماذا حدث؟	What happened?
-من؟	- Who?
- من هو ذلك؟	- Who was it?
-مهاجرين سريين ؟ لنكتشف الامر	We'll soon find out.
أنت!	Hey!
أضواء!	Lights!
أضواء!	Lights!
عشب البحر	Seaweed.
-أين القاضى ؟	- Where's the judge?
-وأنا أيضاً	- So did I.
-تقتل؟	- Shot?
- بماذا أخبرتك؟	What did I tell you?
‎واحد.‏	- What?
-نعم	- Yes.
إنه مسدسى	It's my own.
ممن ؟	- By whom?
ألا تتذكر؟	Don't you remember?
صحيح؟	True?
نعم	Yes.
- أنا ، سأضع نصب عيني علي السيدة.	Agreed.
الآن انتظر دقيقة.	Now wait a minute.
‫. أفضل أن لا أتحدث بالموضوع	I'd rather not talk about it.
-لا أرى السبب لذلك	- I don't see why.
-ستفعلين، ستفعلين	- You will. You will.
صحيح	Right.
صحيح	Right.
صحيح	Right.
أدركت ذلك!	I get it!
مهلاً لحظة	- Oh, wait a minute.
- لا !	- Oh, no!
طاب مساؤكم أيها السادة .	Good night, gentlemen.
أنا متأكد من أنني سوف.	I'm sure I will.
منذ متى و أنت بالخارج ؟	How long have you been out there?
ليس بصوت عال	Shh. Not so loud.
منذ متى و أنت بالخارج ؟	How long have you been out there?
أجل	You.
-ماذا عني؟	- What about me?
- نعم قد فعل.	- Yes, he did.
نعم ، لقد قتل	Yes, he was.
اسمعوا!	Listen!
لا تطلقى الرصاص إلا إذا كنت مضطرة لذلك	Don't shoot unless you have to.
سوف أستطلع الأمر	I'm going to find out.
-خذ المسدس	- Take the gun.
اذهبى أنت أولاً	You go first!
هيا يا " فيرا"	Come on, Vera!
واحد ، اثنان ، ثلاثة ثلاثة هنود فقط	One. Two. Three.
من هناك؟	Who's there?
"لومبارد "	Lombard!
-أيـن؟	- Where?
أدركت ذلك!	I get it!
لكنى ظننت أنه أنت	But I thought it was you.
-بالضبط	- Exactly.
ما الأمر؟	- What is it?
- أوه ، لا أعلم.	- Oh, I don't know.
نعم ، أعرف ما تقصدين	Yes, I know what you mean.
-مهاجرين سريين ؟ لنكتشف الامر	We'll soon find out.
‎هل تسموا نفسكم لاعبو كرة قدم ‏ ‎أنظر بنفسك ‏	What do you see?
ما هذا؟	What is it?
-هذا مستحيل	- It's impossible!
-دعيني أرى	- Let me see!
ما الامر؟	What is it? What is it?
اخبريني	Tell me.
أنظروا .	Look!
-منذ ساعات ؟	- For hours?
-أنت	- You.
-وأنا ايضاً	- And you.
لا تقترب	Don't come any closer!
-ما اسمك ؟	- What is your name?
يجب أن يكون هناك تفسير	There's got to be an explanation.
نعم, انها هي	Yes, that's it!
لقد تم الإعتناء بذلك	Oh, that's been taken care of.
10؟	Ten?
لما تفعلى أنت ذلك؟	Why did you?
صباح الخير	Good morning.
قم باستدعائهم أنت	You call them.
شكراً يا سيدي	Thanks, mister.
-تريد شيئًا آخر؟	- Want anything else?
-لا .	- No.
أنت!	Hey, you!
- أنا ؟	- Me?
الى الشرق	East.
(لوس أنجلوس)؟	LA?
-ربما	- Maybe.
- لا تقل !	- You don't say.
لست من النوع المتكلم، صحيح؟	You're not much of a talker, are you?
أغلقه	Turn it off!
‫كانت تلك الأيام.	Those were the days.
- نعود الى المنزل -	- Let's go home.
- أنا لا أفهمك	- I don't get you.
لكن ليس الآن.	But not now.
-ربما	- Maybe.
وماذا عني؟	But what about me?
-ظننتك تحبينني.	- I thought you loved me.
الوداع	So long.
طبعًا، لم لا.	Sure, why not?
طابت ليلتك	Good night.
عشر دولارات.	Ten bucks.
شكراً	Thanks.
ما هو؟	What was it?
مكالمة خارجية	Long distance.
حقًا؟	You do?
نعم	Yeah.
المال!	Money.
أتعرف ما يعنيه هذا	You know what that is.
-إلى أين أنت ذهب؟	- How far are you going?
-لوس أنجليس)).	- L.A.
-من أين أنت؟	- Where are you coming from?
- نيويورك -	- New York.
يا له من حيوان!	What an animal!
نعم	Yeah.
عن المستقبل؟	Was I wrong?
-مليونين.	- Two million.
نعم أرى هذا.	Yeah, I can see that.
هذا قاسٍ.	That was tough.
وأنا أكلت.	I ate.
-ما رأيكِ فى ذلك؟	- How do you like that?
-تريد شيئًا آخر؟	- Want anything else?
الباقي يا سيدي.	Your change, sir.
أطرق مجدداً	Call again.
هل تأذيت؟	Are you hurt?
سأستمع إليه.	I'll listen to it.
ليس هذا فقط	Not only that.
لقد فقدت كل سبل الوقت	I lost all track of time.
-لا .	- No.
كلا...	No ...
لاحقا	Later.
كانت ثمة امرأة.	There was a woman.
-لوس أنجلوس)).	- Los Angeles.
-هذا ما كنت أخشاه.	- That's what I was afraid of.
-مـاذا قلت؟	- What did you say?
-لا .	- No.
-لا .	- No.
أنت لا تخدعني.	You're not fooling anyone.
-لقد سمعتني	- You heard me.
لا يوجد شك في الأمر.	There was no doubt about it.
حسنًا ، أنا في الانتظار	Well, I'm waiting.
حسناً	Well?
‎نادينا ‏ ‎نادي ساوثهول لكرة القدم ‏	That's life.
-ليس لي عِلم	Not that I know of.
‎هذا كل شيء – ر د	- Shut up.
أنا لا أحبك.	I don't like you.
-لم أقتل أحدًا.	- I'm not a murderer.
- دعكِ من هذا .	- Oh, skip it.
ماذا تعني؟	- What do you mean?
لم أفكر فى ذلك قط	I never thought of that.
لا أريدك أن تختفي عن ناظري.	I don't want you to get lost.
شكراً	Thanks.
-أرحتيني.	I'm relieved.
نعم.	Yep.
-حسناً	- OK.
أنا الذي اخترعته.	I invented it.
يجب ان تكونى كذلك.	You must be.
إنه يوتر أعصابي.	It gets on my nerves.
-انسي الأمر	Forget it.
هذ مشروباً	Have a drink.
أنت لم تقتله.	You didn't kill him.
شكراً	Thanks.
- ربما أنت على حق.	- Maybe you're right.
-أنا دومًا محقة.	- I'm always right.
بالتأكيد هو .	Sure is.
حسنًا يا بروفسور.	It's a profession.
فكّر بذلك	Think of that.
أنا تعبت من التفكير	I'm tired of thinking.
أنا أعرف ما أتحدث عنه.	I know what I'm talking about.
مسألة وقت وحسب.	It's only a question of when.
نعم	Yeah.
تعجبيني؟	Like you?
أحبك	I love you.
أنا ذاهبة إلى السرير	I'm going to bed.
اصمت	Shut up.
هيا..	Come on.
انا حاجة لشرائه.	I want to buy it.
-لو أن الثمن مناسب.	- If the price is right.
- نعم.	- Yup.
- حسنا...	- Well ...
غيرتِ رأيك؟	Change your mind?
-لنذهب	- Let's go.
شكراً	Thank you.
انظر الى هذا	Take a look at that.
-أجـل، سوف تعيـش	- Yes, you will.
هل تعتقد أنني مجنون	You think I'm crazy?
المعذرة	Excuse me.
ولن أفعلها.	And I won't do it.
بل أعتقد أنك ستفعل.	I think you will.
لا.	No.
ربما ربما	Maybe. Maybe.
أجل	- Yeah.
حسنًا إذًا.	Alright, then.
سنترال ؟	Information?
شكراً	Thanks.
- لذا ماذا؟	- So what?
-فيرا!	- Vera!
‎و هو الان مدربنا ‏	Alright.
- لا تقل لي -	- Don't tell me.
"فيرا "	Vera!
أليس هذا مثيرًا للضحك؟	Isn't that a laugh?
حسناً جداً	Very well.
إنها الحقيقة	Chris.
تهانينا !	Congratulations.
‎إنه من أفضل النوادي في إنجلترا ‏	- Thank you.
‎إنه من أفضل النوادي في إنجلترا ‏	- Thank you.
شكراً	Thank you.
شكراً	Thank you.
طابت ليلتك	Good night.
انظـر.	Look.
ماذا وجدت ؟	What do you find?
شربتُ كثيرا.	I drank too much.
طابت ليلتك	Good night.
-لا انتظر , انتظر	- No, wait, wait.
وكيل الاعمال	Agent!
وكيل الاعمال	Agent!
-هناك	- Over there.
- لا أعلم.	- I don't know it.
انتظر هنا	Wait here.
نذهب هناك.	We go there.
-مرحباً " جونى " ، مرحباً " كيتى "	Hello, Kitty.
هل رأيت جوني؟	Have you seen Johnny?
قهوة لكلينا ، من فضلك	Two coffees, please.
واحد فقط؟	Only one?
- نعم ، نعم .	- Yes, yes.
شكراً	Thank you.
كيتي	Kitty.
باختصار	In short...
حقا؟	Do you believe?
- أنا ؟	- Me?
-لا .	- No.
حسناً	Well...
نعم	Yes.
-لا , لا	No, no, not.
ما الوقت؟	What time is it?
شكراً	Thank you.
- كريستوفر. - ديفيد.	Christopher.
‫زوجتي...	My wife...
لا.	No.
-نعم	- Yes.
كان شيئاً رهيباً	It was terrible.
خمس سنوات.	Five years.
و أيضاً...	And...
هل تريد واحدة؟	Do you want one?
-منك	- Of you.
حسنا، لدي اشياء اخرى للقيام بها علاوة على الوقوف بالخارج هنا	Do you see it?
‫جوني!	Johnny!
من هنا	It is this way.
لا.	No.
نعم أفهم ذلك.	Yes, I understand.
أنت تعرف بالفعل‫.‬	You already know.
مثير للأهتمام	Interesting.
- انسى ذلك.	- Forget it.
رجاءً، (كيتي).	Kitty, please.
"كريس "	Chris!
أريد ان اخبرك شيئاً	I have to tell you something.
‎واحد.‏	- What?
لقد خدعتُك	I have deceived you.
كم تحتاج ؟	How much do you need?
لا شكراً	No, thank you.
شكراً	Thank you.
هل كنت تشرب ؟	Have you been drinking?
- كريستوفر. - ديفيد.	Christopher.
- كريستوفر. - ديفيد.	Christopher.
ماذا تصنعين	What are you making?
هل أنت أعمى؟	Are you blind?
-أيهما ؟	- Which?
بالطبع	Of course.
-سكيراً و جباناً -يا امرأة	- Woman!
-هنـا	- Here.
حقّا؟	Is he?
واو	Go...
ويسكي؟	Whisky?
هيا , هيا , هيا هيا , هيا	Go, go, go...
ربماتوجد.	It could be.
"كريس "	Chris!
لديك زوار	You have company.
كان يتحدث دومًا عن عائلته ، مثل	Johnny...
ما رأيك؟	How is it?
نعم	Yes.
ربما.	Perhaps.
هل أنت سعيدة؟	Are you happy?
ألف دولار جيد ؟	A thousand dollars?
لماذا ؟	Why not?
نعم. أعرفه.	Yes, I know it.
-سأجلبها .	- I will get it.
- وداعاً	- Good-bye.
لا أفهم هذا	I don't understand it.
أنت لا تحبني	You don't love me.
كلا؟	No?
-لا .	- No.
أتريد مني أن أذهب للصيد معك	And now, what?
طابت ليلتك	Good night.
-مرحباً نيك	Hello, Nick.
هل هم جيدون ؟	Are they good?
هل الأمر مهم؟	Is it important?
نيك	Nick.
أي متحف؟	What museum?
يا آلهى .	My God.
