Les diré...	I will tell you...
- ¿Lo oíste, no?	But I thought it was you.
- Exactamente.	- Exactly.
- ¿Qué es esto?	- What is it?
- Ah, no lo sé.	- Oh, I don't know.
- Desde luego.	Yes, I know what you mean.
Pronto lo averiguaremos.	We'll soon find out.
¿Qué ve?	What do you see?
¿Qué es?	What is it?
- ¡No es posible!	- It's impossible!
- ¡Déjame ver!	- Let me see!
¿Qué pasa?	What is it? What is it?
Dime.	Tell me.
Miren.	Look!
- ¿Horas?	- For hours?
- A ti.	- You.
- Y usted.	- And you.
¡No se me acerque!	Don't come any closer!
- ¿Cómo te llamas?	- What is your name?
Tiene que haber una explicación.	There's got to be an explanation.
Sí, es eso.	Yes, that's it!
Está todo controlado.	Oh, that's been taken care of.
¿Diez?	Ten?
¿Por qué lo hiciste? Cállate.	Why did you?
Buenos días.	Good morning.
Llámelos usted.	You call them.
¡Gracias, señor!	Thanks, mister.
- ¿Quiere algo más? - No.	- Want anything else?
-No	- No.
¡Oye, tú!	Hey, you!
¿Yo?	- Me?
Al este.	East.
- Tal vez.	LA?
- Tal vez.	- Maybe.
No me digas.	- You don't say.
No eres muy hablador, ¿verdad?	You're not much of a talker, are you?
¡Apáguelo!	Turn it off!
Los viejos tiempos.	Those were the days.
- Vámonos a casa.	- Let's go home.
- No te comprendo.	- I don't get you.
Pero no ahora.	But not now.
- Tal vez.	- Maybe.
Pero, ¿qué hay de mí?	But what about me?
- Pensé que me querías.	- I thought you loved me.
Hasta luego.	So long.
- Sí, ¿por qué no?	Sure, why not?
Buenas noches.	Good night.
- Diez dólares.	Ten bucks.
Gracias.	Thanks.
¿Qué era?	What was it?
Una conferencia.	Long distance.
¿Ah sí?	You do?
Sí.	Yeah.
Dinero.	Money.
Ya sabes lo que es eso.	You know what that is.
- ¿Hasta dónde vas?	- How far are you going?
- A Los Angeles.	- L.A.
- ¿De dónde vienes? - De pasearme.	- Where are you coming from?
- De Nueva York.	- New York.
Que animal.	What an animal!
Sí.	Yeah.
¿Me equivoqué?	Was I wrong?
Dos millones.	- Two million.
Toma.	Yeah, I can see that.
Me diste fuerte.	That was tough.
Yo comí.	I ate.
- ¿Qué tal ahora?	- How do you like that?
- ¿Quiere algo más? - No.	- Want anything else?
Su cambio, señor.	Your change, sir.
Llame de nuevo.	Call again.
¿Te duele?	Are you hurt?
Yo la escucharé.	I'll listen to it.
No, no es sólo eso	Not only that.
Perdí la noción del tiempo.	I lost all track of time.
-No	- No.
No...	No ...
Más tarde.	Later.
Había una dama.	There was a woman.
- Los Ángeles.	- Los Angeles.
- Eso temía.	- That's what I was afraid of.
- ¿Qué dijiste?	- What did you say?
-No	- No.
-No	- No.
No estás engañando a nadie.	You're not fooling anyone.
- Me oyó.	- You heard me.
No había ninguna duda.	There was no doubt about it.
Bueno, estoy esperando.	Well, I'm waiting.
¡Y bien! ¿Cuál es tu respuesta?	Well?
Así es la vida.	That's life.
No que yo sepa.	Not that I know of.
- Cállate.	- Shut up.
No me gusta usted.	I don't like you.
- No soy un asesino.	- I'm not a murderer.
- No digas tonterías.	- Oh, skip it.
- Explícate.	- What do you mean?
-No lo había pensado.	I never thought of that.
No quiero que se pierdan.	I don't want you to get lost.
Gracias.	Thanks.
¡Me quita un gran peso de encima!	I'm relieved.
Sí.	Yep.
- OK.	- OK.
Yo lo inventé.	I invented it.
Eso parece.	You must be.
Me pone nervioso.	It gets on my nerves.
Olvídalo.	Forget it.
¿Una taza?	Have a drink.
No lo mataste.	You didn't kill him.
Gracias.	Thanks.
Tal vez	- Maybe you're right.
- ¡Y siempre tengo razón!	- I'm always right.
Claro que está.	Sure is.
Es una profesión.	It's a profession.
Piensa en eso.	Think of that.
Cansado de pensar.	I'm tired of thinking.
Y sé de lo que estoy hablando.	I know what I'm talking about.
Sólo es cuestión de cuándo.	It's only a question of when.
Sí.	Yeah.
¿Quererte?	Like you?
Pero te amo	I love you.
Me voy a la cama.	I'm going to bed.
¡Cállate!	Shut up.
Vamos.	Come on.
Quiero comprarlo.	I want to buy it.
- Si el precio es adecuado.	- If the price is right.
- Sí.	- Yup.
- Bueno...	- Well ...
¿Que te arrepientas?	Change your mind?
Para su nueva ópera.	- Let's go.
"Gracias."	Thank you.
Mire.	Take a look at that.
- Sí lo harás.	- Yes, you will.
¿Crees que estoy loco?	You think I'm crazy?
Perdonad.	Excuse me.
No lo haré.	And I won't do it.
Yo creo que lo hará.	I think you will.
No.	No.
Tal vez, tal vez.	Maybe. Maybe.
- Sí.	- Yeah.
Muy bien.	Alright, then.
¿Información?	Information?
Gracias.	Thanks.
- ¿Y qué?	- So what?
- ¡Vera!	- Vera!
Está bien.	Alright.
- No me digas.	- Don't tell me.
¡Vera!	Vera!
- ¿No es para partirse de risa?	Isn't that a laugh?
"¡Muy bien!	Very well.
Chris.	Chris.
"Enhorabuena.	Congratulations.
- ¡Gracias! .	- Thank you.
- ¡Gracias! .	- Thank you.
"Gracias."	Thank you.
"Gracias."	Thank you.
Buenas noches.	Good night.
Mira	Look.
¿Qué averiguaste?	What do you find?
He tomado un dedo de más.	I drank too much.
Buenas noches.	Good night.
- No, espere, espere.	- No, wait, wait.
¡Agente!	Agent!
¡Agente!	Agent!
Allí.	- Over there.
No la conozco.	- I don't know it.
Pete. Espera aquí.	Wait here.
Vamos allá.	We go there.
Hola Kitty.	Hello, Kitty.
¿Has visto a Johnny?	Have you seen Johnny?
Dos cafés, por favor.	Two coffees, please.
- ¿Sólo una...?	Only one?
- Sí, sí.	- Yes, yes.
"Gracias."	Thank you.
Kitty.	Kitty.
En fin...	In short...
¿Usted cree?	Do you believe?
¿Yo?	- Me?
-No	- No.
Bueno	Well...
Sí.	Yes.
No, no, no.	No, no, not.
¿Qué hora es?	What time is it?
"Gracias."	Thank you.
- Christopher. - Y David.	Christopher.
Mi esposa.	My wife...
No.	No.
.	- Yes.
Fue horrible.	It was terrible.
Cinco años.	Five years.
Y...	And...
¿Quiere una?	Do you want one?
- Contigo.	- Of you.
¿La ves?	Do you see it?
¡Johnny!	Johnny!
Así es.	It is this way.
No.	No.
Si, lo comprendo.	Yes, I understand.
Ya sabes.	You already know.
Interesante.	Interesting.
- Olvídalo.	- Forget it.
Kitty, por favor.	Kitty, please.
¡Chris!	Chris!
Tengo que decirte algo.	I have to tell you something.
-- ¿Cómo?	- What?
Yo te he engañado.	I have deceived you.
¿Cuánto necesita?	How much do you need?
- No, gracias.	No, thank you.
"Gracias."	Thank you.
¿Has estado bebiendo?	Have you been drinking?
- Christopher. - Y David.	Christopher.
- Christopher. - Y David.	Christopher.
- ¿Qué haces?	What are you making?
¿Estás ciego?	Are you blind?
- ¿Algunas qué?	- Which?
Por supuesto	Of course.
- ¡Mujer!	- Woman!
Toma.	- Here.
¿Ah, sí?	Is he?
Vaya...	Go...
¿Whiskey?	Whisky?
Vaya, vaya, vaya...	Go, go, go...
- Puede ser.	It could be.
¡Chris!	Chris!
"Tendrás compañía.	You have company.
Johnny.	Johnny...
¿Qué tal está?	How is it?
Sí.	Yes.
Tal vez.	Perhaps.
¿Eres feliz?	Are you happy?
¡Mil dólares!	A thousand dollars?
¿Por qué?	Why not?
Sí, lo sé.	Yes, I know it.
- Lo conseguiré.	- I will get it.
- Adiós.	- Good-bye.
No lo entiendo.	I don't understand it.
Tu no me amas	You don't love me.
¿No?	No?
-No	- No.
Y ahora, ¿qué?	And now, what?
Buenas noches.	Good night.
"Hola, Nick."	Hello, Nick.
¿Son buenos, viejo ladrón?	Are they good?
- ¿Que si es importante?	Is it important?
Nick.	Nick.
¿Qué museo?	What museum?
¡Dios mío!	My God.
