今からそれを話してあげよう	I will tell you...
俺は 考えるのに疲れた	I'm tired of thinking.
それは本当よ	I know what I'm talking about.
問題は それがいつかさ	It's only a question of when.
ああ	Yeah.
好きかって？	Like you?
愛してるさ	I love you.
もう寝るわ	I'm going to bed.
もう待てないってことだ	Shut up.
行くわよ	Come on.
毛皮のジャケット買うのさ	I want to buy it.
- 値段にもよるが	- If the price is right.
- ニューヨークですか？	- Yup.
こちらで 全て手続きしますよ	- Well ...
- さあ早く	Change your mind?
- だけど ベラ...	- Let's go.
どうも	Thank you.
新聞買ってよかった ご覧よ	Take a look at that.
- やるの - やらんからな	- Yes, you will.
- やるのよ	You think I'm crazy?
失礼します	Excuse me.
- 腹が減ってない	And I won't do it.
あんたはやるさ	I think you will.
病床だと知ったのが NYのフリしてさ	No.
- いずれにせよ私はね	Maybe. Maybe.
あんたと同じ毒を 飲ませるかも	- Yeah.
- 殺したわ - 殺してない あらそう	Alright, then.
番号案内？	Information?
わかったわ ありがとう	Thanks.
- それが何？	- So what?
- ベラ	- Vera!
- 約束するか？ わかったわよ	Alright.
- 暑くない	- Don't tell me.
ベラ！	Vera!
笑えるだろ？	Isn't that a laugh?
いいぞ！	Very well.
クリス	Chris.
おめでとう	Congratulations.
- ありがとう	- Thank you.
- どうも	- Thank you.
どうも	Thank you.
ありがたい	Thank you.
おやすみなさい	Good night.
はやく	Look.
あの女見ろよ	What do you find?
ちょっと酔ったかな	I drank too much.
- おやすみ	Good night.
- ダメ 待って	- No, wait, wait.
お巡りさん！	Agent!
お巡りさん！	Agent!
- あっち	- Over there.
- さあね	- I don't know it.
ここで待ってろ	Wait here.
君が言うなら...	We go there.
- こんばんわ タイニー	Hello, Kitty.
ジョニー見かけた？	Have you seen Johnny?
- コーヒー二つ - 気が変わったの...	Two coffees, please.
- ラム・コリンズ一つね？	Only one?
- そうそう	- Yes, yes.
乾杯 クリス	Thank you.
キティ	Kitty.
そう思う？	In short...
私 大人の人好きよ	Do you believe?
- 違うよ	- Me?
芸術家ね！	- No.
出納係かと 思ったけど...	Well...
......	Yes.
- わかった！	No, no, not.
- まだ10時2分だ	What time is it?
手紙書いていい？	Thank you.
クリストファー	Christopher.
妻が...	My wife...
ダメダメ	No.
- そうさ	- Yes.
女性を 助けようとしたんだ	It was terrible.
5年	Five years.
それと...	And...
一服どう？	Do you want one?
- 何がおかしい？	- Of you.
マジかよ	Do you see it?
ジョニー！	Johnny!
前にね	It is this way.
いいや	No.
なるほど	Yes, I understand.
わかるかい	You already know.
興味深いわ	Interesting.
- 気にしないで	- Forget it.
でも キティ...	Kitty, please.
クリス！	Chris!
- 言わなきゃいかんな	I have to tell you something.
- 何よ？	- What?
君をだました	I have deceived you.
- いくら要るの？	How much do you need?
- いや結構	No, thank you.
- ありがとう	Thank you.
酔ってるの？	Have you been drinking?
クリストファー	Christopher.
クリストファー	Christopher.
何してるの？	What are you making?
目が見えないの？	Are you blind?
- 何を？	- Which?
まあ見てれば	Of course.
- とっととやって	- Woman!
- こちらです	- Here.
- 奴か？	Is he?
まあ...	Go...
- スコッチよ	Whisky?
まあ まあ...	Go, go, go...
まあな	It could be.
クリス！	Chris!
- お客さんか	You have company.
- ジョニーって...	Johnny...
初めまして	How is it?
だが...	Yes.
かもしれませんよ	Perhaps.
幸せ？	Are you happy?
- 1000ドルも？	A thousand dollars?
どうして？	Why not?
わかってる	Yes, I know it.
- 持ってくる	- I will get it.
- さよなら	- Good-bye.
わけがわからん	I don't understand it.
私を愛してないのね	You don't love me.
- そう思うか？	No?
- うん	- No.
これでも？	And now, what?
- おやすみなさい	Good night.
- こんちわ ニック - やあ	Hello, Nick.
- どうだい？ - うーん...	Are they good?
- 大事なことか？	Is it important?
私の指輪は？	Nick.
- メトロポリタンよ	What museum?
- 何だよ？	My God.
