Cooper:	COOPER:
We're assembling a team.	אנחנו הרכבת צוות.
Lizzy, about Tom... I don't want to talk about Tom with you.	יזי, על טום... אני לא רוצה לדבר על טום איתך.
You have your opinion on how to proceed, and I have mine.	יש לך דעתך על איך להמשיך, ויש לי שלי.
Just don't bother yourself.	רק אל תטריד את עצמך.
I'll deal with Tom.	אני אתמודד עם טום.
Lizzy, I assure you that will yield no answers and little satisfaction.	ליזי, אני מבטיח לך שלא יניבו תשובות וסיפוק קטן.
Well, I'll find out, won't I?	ובכן, אני אגלה, אני לא?
I wish I could talk you out of this.	הלוואי שהייתי יכול לדבר אותך מזה.
You can't.	אתה לא יכול.
Well, good luck with Xiaoping... [Cellphone beeps]	ובכן, מזל טוב עם יאופינג... (הסלולר צפצופים)
[Sighs] [Chuckles] [Lid thunks, lock rattles]	(דלתות נטרקות) (נאנח)
[Doors slam]	(מגחך)
Good afternoon, gentlemen.	(THUNKS מכסה, LOCK רעשנים) = = צהריים טובים, רבותיי.
I'm Raymond Reddington.	אני ריימונד רדינגטון.
Hey.	היי.
Look at this.	תראה את זה.
[Police radio chatter] What are we looking at?	(משטרת רדיו מציג) מה אנחנו מסתכלים?
I have no idea.	אין לי מושג.
Hey!	היי!
Get out of here!	צא מכאן!
Go!	Go!
[Beeping] [Explosion, car alarm blaring]	(צפצוף) (פיצוץ, בקולי קולות אזעקה של מכונת )
Tom:	TOM:
What the hell was that?	מה לעזאזל זה היה?
[Blaring continues] [Gunfire]	(רועמת ממשיך) (יריות)
Out!	החוצה!
Out! Move!	החוצה!
Move!	זוז! זוז!
Move!	זוז!
Fall back.	ליפול בחזרה.
Asset en route.	נכס בדרך.
We're moving to the cars.	אנו נעים למכוניות.
[Tires squeal]	(חריקת צמיגים)
[Tires screech, gunfire]	(חריקת גלגלים, ירי)
[Horn honks] [Tires squealing]	(הורן צופר) (צווחות גלגלים)
[Engine revving]	(מנוע מכונית)
[Gunshots]	(יריות)
[Tires screech]	(חריקת גלגלים)
Red:	אדום:
I mean, it looks like some sort of serial number.	אני מתכוון, זה נראה כמו איזה מספר סידורי.
Or an atomic number...	או מספר אטומי...
Something from a periodic table.	משהו מטבלה מחזורית.
Why do you think that?	למה אתה חושב כך?
Because the only word I know that contains the letters "v-g" together is avgolemono.	מכיוון שהמילה היחידה שאני מכיר המכילה את אותיות "VG" יחד הוא avgolemono.
I don't know what that is.	אני לא יודע מה זה.
It's a soup.	זה מרק.
Chicken stock, egg yolks, and lemon juice.	ציר העוף, חלמונים, ומיץ לימון.
What?	מה?
I cook.	אני מבשל.
The point is, maybe Xiaoping Li left us a message.	הנקודה היא, אולי שיאופינג לי השאיר לנו הודעה.
I'll run the letter combination against the DMV registry	אני ארוץ שילוב מכתב נגד רישום משרד הרישוי
- and see if we can get a hit.	- ולראות אם אנחנו יכולים להגיע ללהיט.
- Any luck?	- צלחת?
- I can't get ahold of Reddington.	- אני לא יכול לתפוס את רדינגטון.
- You told him the location where the brothers were holding Xiaoping Li, right?	- אתה סיפרת לו את המיקום שבו האחים החזיקו יאופינג לי, נכון?
- Mm-hmm.	- MM-הממ.
- Don't you find it a hell of a coincidence that we show up there, they're gone, and now we can't get ahold of Reddington?	- אתה לא מוצא את זה גיהינום של צירוף מקרים, כי אנו מציגים שם למעלה, הם נעלמו, ועכשיו אנחנו לא יכולים לקבל ישתלט על רדינגטון?
- We've been played.	- אנחנו כבר שיחקנו.
- No. Red put us on to the Pavlovich brothers because he knew it would lead him straight to Xiaoping Li.	- מס האדום הכניס אותנו ל האחים פבלוביץ' כי הוא ידע זה יוביל אותו ישר ליאופינג לי.
That woman's worth millions.	שווה מיליון של האישה הזאת.
Where are you going?	לאן אתה הולך?
I'm going to find Reddington, get some answers.	אני הולך למצוא רדינגטון, לקבל כמה תשובות.
Reddington, I need you to call me, please.	רדינגטון, אני צריך אותך להתקשר אליי, בבקשה.
I need some help with the case.	אני צריך קצת עזרה עם המקרה.
Fingers:	אצבעות:
A gift from Reddington.	מתנה מרדינגטון.
Enjoy.	תהנו.
[Door opens]	(דלת נפתחת)
[Door closes]	(דלת נסגר)
Liz:	ליז:
Two years wasted.	שנתיים מבוזבזות.
Two years we spent.	שנתיים בילינו.
On what?	על מה?
Do you care at all what you've done to me... What you've done to my life?	האם אכפת לך בכל מה שעשית לי... מה שעשית לחיים שלי?
What has it done to you?	מה זה עשה לך?
Who could do such a thing?	מי יכול לעשות דבר כזה?
Finding you, stopping you...	מציאת לך, מפריע לך...
You'd think I'd be happy you're gonna spend the rest of your life in prison.	היית חושב שאני יהיה מאושר אתה הולך לבלות את שארית חייך בכלא.
You'd think I'd get some satisfaction out of that, but I don't because nothing... No sentence, no punishment, no revenge, could ever come close to making up for what you've done.	אפשר היה לחשוב שאני אקבל סיפוק מסוים מכך, אבלאנילא ,כי שוםדבר ... לא משפט, לא עונש, אין נקמה,
- I was doing my job.	- אני עושה את העבודה שלי.
- Your job?	- התפקיד שלך?
That was our life!	זה היה בחיים שלנו!
We were going to have a baby to... You begged me to have a baby!	היינו הולכים לי תינוק... אתה התחנן ללדת אותי!
- I was doing my job.	- אני עושה את העבודה שלי.
- Stop talking about your job!	- תפסיק לדבר על העבודה שלך!
You, this...	,...
Everything was a lie!	כל מה שזה היה שקר!
My life was a lie!	החיים שלי היה שקר!
Every feeling, every memory... Say something to your wife, who's dying in front of you.	כל תחושה, כל זיכרון... תגיד משהו לאשתך, שגוססת מולך.
Say something.	תגיד משהו.
It was the shoes.	זה היה הנעליים.
What does that mean?	מה זה אומר?
That's when I knew.	כלומר, כאשר ידעתי.
It was those brown leather shoes.	זה היה נעלי עור חומות אלה .
It was our third or maybe fourth date.	זה היה התאריך השלישי או אולי הרביעי שלנו.
You'd come over to my place on Halstead, and we ordered, uh...	היית לבוא למקום שלי בהלסטד, והזמנו, אה...
Takeout and rented a movie that we never finished because we ended up... [Chuckles]	Takeout ושכרתי סרט שאנחנו אף פעם לא סיימנו כי בסופו שלנו... ( מגחך)
And you had to get up early for work.	ואתה הייתי צריך לקום מוקדם לעבודה.
And by the time I got up, you were gone.	ועד שיש לי , אתה נעלם.
I remember standing in the closet, half-dressed, reaching for my shoes when I saw that you had drawn this little heart [Scoffs lightly]	אני זוכר שעמדתי בארון, חצי לבושה, להגיע לנעליים שלי, כאשר ראיתי שאתה צייר
In the dust on my shoe.	הלב הקטן הזה (מגחך בקלילות) באבק על הנעל שלי .
You remember that?	אתה זוכר את זה?
It was the sweetest thing.	זה היה הדבר הכי מתוק.
And ever since that moment, I just felt... Sorry for you... Because I knew...	ומאז אותו הרגע, אני פשוט הרגשתי... מצטער בשבילך... כי ידעתי... ידעתי שיש לי אותך.
Part of me didn't want it to work... But it did.	החלק ממני לא רוצה שזה יעבוד... אבל זה לא.
[Sighs]	(נאנח)
Archimedes.	ארכימדס.
Archimedes!	ארכימדס!
- Meera:	- מירה:
I beg your pardon?	אני מבקש את סליחתך?
- Archimedes' formula.	- ארכימדס " נוסחה.
You know, uh, the... the naked guy who shouted "Eureka."	אתה יודע, אה,... עירום הבחור שצעק ". יוריקה"
Why would she write down a mathematical formula?	למה שהיא תכתוב את נוסחה מתמטית?
Ressler:	רסלר:
Maybe it's some kind of a code or a language they don't understand.	אולי זה איזשהו קוד או שפת שהם לא מבינים.
Archimedes' principle indicates that the upward buoyant force which is exerted on a body immersed in fluid,	ארכימדס " העיקרון מציין שהכח קליל כלפי מעלה שמופעל על גוף שקוע בנוזל,
- whether fully...	- בין אם באופן מלא...
- Aram.	- ארם.
Um, water displacement.	אום, תזוזה במים.
Boats displace water.	סירות לעקור מים.
She's trying to tell us how they're getting her out of the country.	היא מנסה לספר לנו איך הם מקבל אותה אל מחוץ למדינה.
Contact the coast guard.	צור משמר החופים.
Get photos of the brothers and Xiaoping Li to every port authority on the eastern seaboard.	קבל תמונות של האחים ויאופינג Li לכל רשות נמל בחוף המזרחי.
[Cellphone vibrating]	(רטט הסלולר)
What are you gonna tell him?	מה אתה הולך להגיד לו?
Hey.	היי.
What's going on?	מה קורה פה?
Where are we on Xiaoping Li?	איפה אנחנו ביאופינג לי?
They're trying to ship her out of the country.	הם מנסים לשלוח אל מחוץ למדינה.
We're combing through the manifests now.	אנחנו סירוק באמצעות המניפסטים עכשיו.
Where are you?	איפה אתה?
Waiting on Reddington.	מחכה ברדינגטון.
He still hasn't shown.	הוא עדיין לא הוכיח.
I'm telling you, Keen.	אני אומר לך, קין.
He used us.	הוא השתמש בנו.
These guys...	החבר 'ה האלה...
The Pavlovich brothers... You remember what they did.	האחים פבלוביץ'... אתה זוכר מה שהם עשו.
You were there that day on the bridge.	אתה היית שם באותו היום על הגשר.
When we take them down, I want you to be there.	כאשר אנו לוקחים אותם, אני רוצה שתהיה שם.
I will be, just as soon as... [Mug rattling]	אני אהיה, ברגע ש... (שקשוק MUG)
I'm gonna have to call you back.	אני אצטרך להתקשר אליך בחזרה.
Nice try.	ניסיון יפה.
I was thirsty.	הייתי צמא.
[Cellphone beeps] [Cellphone rings] Yes?	(הסלולר צפצופים) (טבעות הסלולר) כן?
- Liz:	- ליז:
Where is she?	איפה הוא?
- Who?	- מי?
Xiaoping Li.	יאופינג לי.
You took her.	לקח לך אותה.
You used the FBI and the Pavlovich brothers to get to Tom and what, get Xiaoping?	השתמשת ה-FBI ואחי פבלוביץ' כדי להגיע לטום ומה, תקבל יאופינג?
Make some bigger deal?	לעשות קצת עסקה גדולה ?
Trade on her secrets?	מסחר בסודותיה?
I have no use for germ warfare.	אין לי שימוש ללוחמה ביולוגית.
And as for using the FBI?	ובאשר לשימוש את ה-FBI?
I wouldn't be in this relationship if there wasn't a mutual benefit.	אני לא יהיה במערכת יחסי זה אם לא היה תועלת הדדית.
- Where is she?	- איפה הוא?
- I don't know.	- אני לא יודע.
I tried to bargain for her life, but negotiations went sideways.	ניסיתי להתמקח על החיים שלה, אבל משא ומתן הלך הצידה.
It was all I could do to get Tom.	זה היה כל מה שיכולתי לעשות כדי לקבל טום.
If we don't find her...	אם אנחנו לא מוצאים אותה...
If she gets sent back to the Chinese,	אם היא מקבלת נשלחה בחזרה לסינית,
- she's gonna die.	- היא הולכת למות.
- Tell me what you know.	- תגיד לי מה אתה יודע.
We think they're putting her on a cargo ship.	אנחנו חושבים שהם לשים על ספינת מטען.
We're not sure.	אנחנו לא בטוחים.
We're looking over the manifests, timetables,	אנחנו מחפשים מעל המניפסטים, לוחות זמנים,
- and shipping routes.	- ונתיבי ספנות.
- She isn't cargo, Lizzy.	- היא אינה מטענים, ליזי.
She's contraband.	היא מוברחת.
This is a smuggling operation.	זה הברחה.
And nothing gets smuggled in or out of the chesapeake without Rolph Cisco knowing about it.	ושום דבר לא מקבל הוברח פנימה או החוצה של Chesapeake בלי רולף סיסקו לדעת על זה.
Have Donald pay him a visit.	האם דונלד לשלם לו ביקור.
[Sighs] [Cellphone beeps] What is his obsession with you?	(נאנח) (הסלולר צפצופים) מהי האובססיה שלו איתך?
You guys got, like, a, uh, daddy-daughter thing going on?	יש לכם, כמו, דבר , אה, אבא ובת קורה?
What's your plan?	מה התכנית שלך?
Is daddy coming over?	אבא חוזר מעל?
Is he gonna make me talk?	האם הוא הולך לעשות לי לדבר?
No, he's not.	לא, הוא לא.
I am.	אני
[Tires screech] [Car doors open]	(חריקת גלגלים) (דלתות מכונית פתוחה)
Rolph Cisco?	רולף סיסקו?
Tell us about the Pavlovich brothers.	ספר לנו על האחים פבלוביץ' .
Who do you work for?	מי אתה עובד?
I have nothing to say.	אין לי מה לומר.
- Liz:	- ליז:
Who do you work for?	מי אתה עובד?
- Tom:	- טום:
Liz, come on.	ליז, בחייך.
You don't have it in you.	אתה לא צריך את זה אתה.
[Bone snaps] Aah!	(BONE מצליפה) אהה!
Aah!	אהה!
[Bone snaps] God!	(BONE מצליפה) אלוהים!
Aah!	אהה!
[Conversation in serbian] [Gasps]	(שיחה בסרבית) (נשימות)
[Metal clinking] [Panting]	(שקשוק METAL) (מתנשף)
[Chains rattling]	(שרשרות מקשקשת)
[Tires screech] [Sirens wailing]	(חריקת גלגלים) (סירנות מייללות)
[Indistinct shouting]	= = (צעקות לא ברורים)
[Gunfire]	(יריות)
Aah!	אהה!
Aah!	אהה!
[Gunfire stops]	(מכונות יריית תחנות)
Let me out of here!	תן לי לצאת מכאן!
Please!	בבקשה!
Get me out!	קבל אותי!
Get me out!	קבל אותי!
- [Panting]	- (מתנשף) ​​
- It's okay.	- זה בסדר.
It's okay.	זה בסדר.
Easy, easy.	לאט, לאט.
We're the good guys.	אנחנו חבר 'ה הטוב.
Here.	כאן.
Come here.	בואו לכאן.
I'm gonna put you down.	אני הולך לשים אותך.
[Sobbing]	(מתייפח)
Easy.	קל.
[Chuckles softly] You broke my thumb.	(מגחך חרש) שברת את האגודל שלי.
Yeah, I did.	כן, אני עשיתי.
If you're looking for sympathy, you might want to start with honesty.	אם אתה מחפש אהדה, ייתכן שתרצה להתחיל עם כנות.
Here's an example of honesty, Tom.	הנה דוגמא של יושר, טום.
You've been making me pancakes for two years.	אתה כבר עושה לי לביבות במשך שנתיים.
- I hate pancakes.	-  אני שונא את הלביבות.
- You want honest? Here's one.	- אתה רוצה כנה  הנה אחד.
If you're gonna handcuff somebody, don't break their thumb.	אם אתה מישהו אזיקים הולך, לא לשבור האצבע שלהם.
[Clattering] [Grunts] [Dishes clatter] [Grunts]	(שקשוק כלים) (נהמות) (נהמות)
Your handcuffs.	(שקשוק) האזיקים שלך.
One on the wrist.	אחת על פרק כף היד.
One on the banister.	אחת על המעקה. לעשות את זה.
[Handcuffs click] I am not here to hurt you, Liz.	(לחץ אזיקים) אני לא כאן כדי לפגוע בך, ליז.
- [Scoffs]	- (מלגלג)
- My job was never to hurt you.	- התפקיד שלי מעולם לא היה לפגוע בך.
I'm one of the good guys.	אני אחד מהחבר 'ה הטוב.
Reddington...	רדינגטון...
He's not who you think.	הוא לא שאתה חושב.
- I will find you.	- אני אמצא אותך.
- I can prove it.	- אני יכול להוכיח את זה.
The key in the lamp...	מפתח במנורה...
I know you found it.	אני יודע שמצאת אותו.
Take it to radford bank.	קח את זה לרדפורד בנק.
Box number 3929.	מספר התיבה 3929
He is not who you think he is.	הואלאמי שאתהחושבשהוא
Goodbye, Liz.	שלום, ליז.
[Door slams] [Intro to Josh Ritter's "Change of Time" plays]	(דלת נטרק) (מבוא ל "שינוי הזמן" ג'וש ריטר'S נצחונות)
[Exhales sharply] ♪ I had a dream last night ♪	(נושף בחדות) ♪ היה לי חלום אתמול בלילה ♪
♪ I dreamt that I was swimming ♪ ♪ and the stars up above ♪	♪ חלמתי ש אני שוחה ♪ ♪ והכוכבים למעלה ♪
- ♪ directionless and drifting ♪	- ♪ נטול כיוון ונסחף ♪
- You want me to stop him?	- ♪ אתה רוצה שאני אעצור אותו?
♪ Somewhere in the dark ♪ No, we'll just let the tail follow him.	♪ ♪ אי שם בחושך ♪ לא, אנחנו פשוט לתת הזנב אחריו.
♪ ... thunder ♪ ♪ and around me as I swam ♪	♪ רעם ♪ ♪ וסביבי בזמן ששחיתי ♪
♪ The drifters who'd gone under ♪ ♪ time, love ♪	♪ ♪ הנוודים ♪ שהלך תחת ♪ ♪ זמן, אהבת ♪
♪ time, love ♪ - ♪ time, love ♪	♪ זמן, אהבת ♪ = =
- Meera:	- ♪ זמן, אהבת ♪
Tell me about Whitefog.	- ♪ מירה: ספר לי על Whitefog. ♪
Whitefog was a black project started	Whitefog היה פרויקט שחור התחיל.
By the Chinese government five years ago.	על ידי הממשלה הסינית לפני חמש שנים.
♪ Time, love ♪ You want to tell me what's going on with Agent Keen?	♪ זמן, אהבת ♪ אתה רוצה לספר לי מה קורה ב עם סוכן קין?
- Sir?	- סר?
- Where was she today?	- איפה היא הייתה היום?
And don't tell me you don't know.	ואל תגיד לי שאתה לא יודע.
Was it Reddington?	זה היה רדינגטון?
Are there problems?	האם יש בעיות?
I think she's having troubles at home, sir.	אני חושב שהיא היא שיש צרות בבית, אדוני.
♪ I had a dream last night ♪ ♪ and rustling far below me ♪	♪ היה לי חלום אתמול בלילה ♪ ♪ ומרשרש הרבה מתחתיי ♪
♪ battered hulls and broken hardships ♪ ♪ leviathan and lonely ♪	♪ קליפות מוכות ♪ ♪ וקשיים שבורים ♪ ♪ לווייתן ובודד ♪
♪ I was thirsty, so I drank ♪ ♪ though it was salt water ♪	♪ הייתי צמאים, ולכן שתיתי ♪ ♪ למרות שזה היה מים מלוחים ♪
♪ there was something about the way ♪ ♪ it tasted so familiar ♪	♪ היה משהו ♪ ♪ על הדרך ♪ ♪ היו לו טעם כל כך מוכר ♪
♪ time, love ♪ ♪ time, love ♪	♪ זמן, אהבה ♪ ♪ זמן, אהבת ♪
♪ time, love ♪ Liz:	♪ זמן, אהבת ♪ ליז:
I lost him.	אני איבדתי אותו.
He's gone.	הוא נעלם.
No.	מס
This whole time, you've never let him out of your sight.	כל הזמן הזה, יש לך אף פעם לא פלט אותו לטווח הראייה שלך.
Your people are following him now.	האנשים שלך שעוקבים אותו עכשיו.
They are.	הם.
How is this all gonna end?	איך זה כל הסוף הולך?
This is an end.	זהסוף.
And then something new will begin.	ואז משהו חדש יתחיל.
You deserve the best in life, Lizzy.	מגיע לך הכי טוב בחיים, ליזי.
I know that sounds odd coming from a man who has brought you some of the worst,	אני יודע שזה נשמע מוזר מגיע מאדם שיש לי הביא לכם כמה מהגרוע ביותר,
but it's the reason why Tom had to work so hard to be that for you...	אבל זה הסיבה למה טום הייתי צריך לעבוד כל כך קשה כדי להיות את זה בשבילך. ..
To be kind, to be thoughtful, make you laugh, to make you love him.	כדי להיות נדיב, להיות מתחשב, לגרום לך לצחוק, כדי לגרום לך לאהוב אותו.
Because you deserve that.	בגלל שמגיע לך את זה.
And it will come.	וזה יבוא.
♪ I had a dream last night ♪ ♪ and when I opened my eyes ♪	♪ היה לי חלום אתמול בלילה ♪ ♪ וכשפקחתי את עיניי ♪
♪ your shoulder blade, your spine ♪ ♪ were shorelines in the moonlight ♪	♪ כתפך ♪ ♪ להב, עמוד השדרה שלך ♪ ♪ היית החופים ♪ ♪ באור הירח ♪
♪ new worlds for the weary ♪ ♪ new lands for the living ♪	♪ עולמות חדשים ל♪ העייפים ♪ האדמות חדשות לחיים ♪
♪ I could make it if I tried ♪ ♪ I closed my eyes, I kept on swimming ♪	♪ אני יכול לעשות את זה אם אנסה ♪ ♪ עצמתי את עיניי, ♪ ♪ המשכתי לשחות ♪
THE CHAMPION Completely broke.	"האלוף"
Meditating on the Ingratitude of humanity.	שבור לגמרי, מדיטציה על הכבוד של האנושות.
Persnickety pooch	מבט של כלב.
Spike Dugan, a fighter.	ספייק דוגאן, לוחם.
SPIKE DUGANS TRAINING QUARTERS	ספייק דוגנס מדריכי רובעים.
"The gink wants his face kalsomined."	גינק רוצה שתבדוק את הפנים שלו.
Second thoughts.	במחשבה שניה.
"Who is this weakling?"	מי החלשלוש הזה?
Bob Uppercut, the Champion.	בוב אופרקוט, האלוף.
For the Championship tonight !	לאליפות הערב!
Training for his first fight.	מתאמן לקרב הראשון שלו.
BEER	בירה
Edna, the trainer's daugher.	עדנה, בתו של המאמן.
"Five big ones if you let yourself lose."	חמשת אלפים, אם תפסיד.
The big night.	הערב הגדול.
"The Champion !"	האלוף!
"The Challenger."	הטוען לכתר.
"To the winner..." The reward. THE END subtitles by	למנצח!
THE TRAMP Featuring Charles Chaplin	הנווד Nobody תורגם וסונכרן ע"י
"He wanted my money."	הוא רצה את הכסף שלי
"As a reward you can work."	כפרס, אתה יכול לעבוד
"This is the life !"	אלו החיים
"We'll split the swag if you'll help."	אנו נתחלק בשלל אם תעזור
He plans to fool the burglars.	הוא מתכנן להטעות את הפורצים
i thunk your kindness was love but it ain't cause I seen him Good bye	חשבתי שהחסד שלך היה אהבה, אבל זה לא כיוון שראיתי אותו שלום
"No thanks."	לא, תודה
THE END subtitles by	Nobody תורגם וסונכרן ע"י
- He'll lead us to a fruitful America.	הוא הוביל אותנו לאמריקה משגשגת, ממדינת מסצ'וסטס, ג'ון פ' קנדי!
John F. Kennedy!	ג'ון פ' קנדי חי חיים שעזרו להגדיר דור שלם.
- John F. Kennedy lived a life that would help define an entire generation.	יחד נציל את הכוכב שלנו, או יחד, נישרף בלהבותיו.
- Together, we shall save our planet, or together, we shall perish in its flames.	מה היה בבחור הזה?
- What was it about that guy?	מראה, סגנון, חביבות.
- Looks, style, empathy.	הוא היה מקסים. -אינטלקטואלי ומתקדם.
- He was incredibly charming. - Intellectual and progressive.	הוא היה העתיד, הוא היה הדבר הבא.
- He was the future. He was next. - President for just over 1,000 days,	כנשיא קצת יותר מאלף ימים קנדי ניווט באירועים ובמשברים ששינו את העולם.
Kennedy navigated events and crises that changed the world.	קנדי חש את הלחץ מצד פעילי זכויות האזרח.
- Kennedy is feeling the pressure from the Civil Rights activists.	זן הייתה מדינה על סף מלחמה גרעינית.
- This was a country on nuclear war footing.	זו הטעות האחרונה שמישהו יעשה בפוליטיקה.
- This could be the last mistake that anybody makes politically.	הוא שינה אותנו בתהליך הצמיחה שלו.
- He changed us in the process of his own growth. - We choose to go to the moon in this decade and do the other things, not because they are easy but because they are hard.	אנחנו בוחרים לטוס לירח בעשור הזה ולעשות דברים נוספים לא משום שהם קלים, אלא משום שהם קשים.
- 60 years after his assassination, we are still fascinated by the triumphs and flaws of the youngest president ever elected.	‏60 שנים אחרי ההתנקשות בחייו, אנחנו עדיין מרותקים לניצחונות ולכשלים של הנשיא הצעיר ביותר שנבחר. אני מבקש מכם להצטרף אלינו לכל מה שיביא המחר, לבנות את אמריקה, לקדם את אמריקה,
- I ask you to join us in all the tomorrows yet to come, in building America, moving America, picking this country of ours up and sending it into the '60s.	לקחת את המדינה שלנו 'ולשלוח לשנות ה -60.
- The story begins on a quiet spring afternoon in May 1917 in the Boston suburb of Brookline, Massachusetts.	הסיפור מתחיל באחר צוהריים אביביים ושלווים במאי 1917, בפרבר הבוסטוני ברוקליין, מסצ'וסטס. רוז פיצג'רלד קנדי ילדה תינוק בחדר השינה הראשי של בית קנדי הצנוע.
Rose Fitzgerald Kennedy gave birth to a baby boy in the master bedroom of the modest Kennedy household.	הנשיא לעתיד, ג'ון פיצג'רלד קנדי, המכונה בפי חבריו ומשפחתו ג'ק,
The future president, John Fitzgerald Kennedy, known by his friends and family as Jack, was born on May 29th around 3:00 p.m.	נולד ב -29 במאי בשלוש אחר הצוהריים. ב
The world in 1917 was shifting.	-1917 העולם השתנה. באותה השנה אמריקה נכנסה למלחמה הגדולה, שהחלה ב
That year, America entered the Great War, which had begun in 1914.	-1914. המשמר הדומם הפגין לטובת זכויות הנשים מול הבית הלבן.
The Silent Sentinels protested in favor of women's suffrage in front of the White House. The average annual household income was $800, and the cost of a movie ticket was just seven cents.	ההכנסה השנתית הממוצעת למשק בית הייתה 800 דולר ועלות כרטיס קולנוע הייתה שבעה סנטים.
With hundreds of thousands of miles of railroad tracks,	עם מאות אלפי קילומטרים של מסילות, אמריקה, גם היצרנית הגדולה בעולם של פחם ושל ברזל,
America, also the world's largest producer of coal and iron, was at the center of a new industrial age.	הייתה בלב עידן תעשייתי חדש. תומס ג'יי קרטי, סופר קנדי נולד בתקופה שבה ארצות הברית עלתה כמעצמה עולמית.
- Kennedy is born into this time when the United States is rising as a world power. - Delivered by the family doctor,	לאחר שיולד בידי רופא המשפחה, ג'ון הוכרז בריא ונאה.
Jack was proclaimed healthy and handsome.	חייו של ג'ק הצעיר היו מאושרים ונטולי דאגות עד שחלה בשנית בגיל שנתיים.
Young Jack's life was happy and carefree until he contracted scarlet fever at age two.	בעולם ללא אנטיביוטיקה האבחנה שלו הייתה עגומה.
In a world without antibiotics, his prognosis was dim. Jack was sent to the Boston City Hospital, where his condition was so poor that he received last rites.	ג'ק נשלח לבית החולים "בוסטון סיטי", שם מצבו היה גרוע כל כך, עד שנערך לו טקס אחרון.
- The last rites are not administered trivially.	טקס אחרון לא נערך באופן טריוויאלי, דיוויד מ' קנדי, היסטוריון זוכה פרס פוליצר זה סימן למצב חמור של כמעט מוות.
That's a mark of a very, very serious near-death experience.	בתפנית בלתי צפויה בריאותו התייצבה והוא שוחרר.
- In an unexpected turn, his health stabilized and he was released.	זה היה סימן מוקדם לבעיות הבריאות הכרוניות של ג'ק.
This was an early sign of Jack's lifelong chronic health struggles.	אמו של ג'ק, רוז, גידלה את ילדיה לבדה.
Jack's mother, Rose, was effectively a single parent.	אף שסבלה את הרומנים של בעלה, ג'ו, עם נשים אחרות, מספר המיזמים העסקיים שלו, כולל בנקאות,
Though she tolerated her husband Joe's affairs with other women, his numerous business ventures, including banking, ship manufacturing during the First World War, and stock brokering, added to his frequent absences.	ייצור ספינות במלחמת העולם הראשונה ושוק מניות, כל אלה הוסיפו להיעדרויותיו התכופות.
- He was, by this time, well on his way to becoming an important businessman, and it hadn't been easy.	הוא היה בדרך להפוך לאיש עסקים חשוב. וזה לא היה קל.
From the very beginning, Joe and Rose reached an agreement that Rose was gonna raise the kids when they were little.	למן ההתחלה ג'ו ורוז הגיעו להסכם ולפיו רוז תגדל את הילדים בגיל הרך. כשהבנים יגדלו ג'ו יתערב,
As the boys got bigger, Joe would step in.	אבל ג'ו קנדי לא היה הרבה בסביבה, והיה יוצא מן הכלל אחד.
But Joe Kennedy wasn't around much, with one exception.	ג'ק לקה בשנית בגיל שנתיים,
Jack developed scarlet fever at the age of two, and before work and after work,	וכך לפני העבודה ולאחר העבודה, ג'ו נסע לבית החולים,
Joe goes to the hospital. He sits at the bedside. He watches over his son.	ישב לצד המיטה, השגיח על בנו, דיוויד נסו, סופר הוא שוחח עם הרופאים ועם האחיות.
He confers with the doctors and the nurses.	הוא נהיה ההורה היחיד.
He becomes the one and only parent. Jack Kennedy doesn't see his mother at a critical moment in his upbringing for months and months.	ג'ק קנדי לא ראה את אמו ברגע מכריע בגידולו במשך חודשים.
- When he was around, Joe showered attention, especially on the boys.	כשהוא היה בסביבה ג'ו הרעיף תשומת לב, איילין מקנמרה, היסטוריונית זוכת פרס פוליצר בעיקר על הבנים. רוז הייתה קרה, שקועה בעצמה.
Rose was cold, self-absorbed. There was something particular about the coldness from Rose that you can't.	היה משהו מסוים בקור של רוז שהיה בלתי מוסבר.
Really explain away.	רוז, כמו ג'ו, נסעה לעיתים קרובות לפרקי זמן ארוכים כשהילדים היו קטנים.
- Rose, like Joe, often went away for large stretches of time when the children were young.	ג'ק הצעיר אמר:
A young Jack was said to have remarked,	"את ממש אימא נהדרת "שנוסעת ומשאירה את הילדים לבד."
"Gee, you're a great mother to go away and leave your children all alone."	הוא אמר לחבר, כשהיה בוגר:
He told a friend while he was an adult,	לורנס ג'יי האס, סופר "אימא שלי אף פעם לא חיבקה אותי,
"My mother never hugged me, never, never."	"אף פעם."
- Instead of pitying himself, he found something else to occupy his mind.	במקום לרחם על עצמו הוא מצא משהו אחר שיעסיק אותו.
From Sinbad the Sailor to Peter Pan,	מ"סינבד המלח" עד "פיטר פן", ג'ק הוקסם מקריאה.
Jack was enthralled by reading.	העניין הספרותי שלו לא היה רק בהרפתקאות.
His literary interests did not lay solely in swashbuckling adventure. He devoured weighty historical tomes like "Lays of Ancient Rome," a popular collection of poems written in the 1840s, and "The Pilgrim's Progress,"	הוא קרא ספרי היסטוריה כבדים כמו "שכבות רומא העתיקה", אוסף פופולרי של שירים שנכתבו ב
a work of theological fiction by John Bunyan.	-1840, ו"מסעות ההלך", ספר תאולוגיה בדיונית מאת ג'ון באניין.
- There was something special about Jack.	היה משהו מיוחד בג'ק, הוא לימד את עצמו.
- When Jack was 10, his father relocated the family to New York.	כשג'ק היה בן עשר אביו העביר את המשפחה לניו יורק.
