Previously on "The Blacklist"...	Anteriormente en "The Blacklist"...
You'd come over to my place on Halstead, and we ordered, uh... Takeout and rented a movie that we never finished because we ended up...	Tú viniste a mi casa de Halstead, y ordenamos comida para llevar y alquilamos una película que nunca acabamos porque terminamos...
And you had to get up early for work.	Y tenías que levantarte temprano para trabajar.
And by the time I got up, you were gone.	Y para cuando me levanté, te habías ido.
I remember standing in the closet, half-dressed, reaching for my shoes when I saw that you had drawn this little heart In the dust on my shoe.	Recuerdo estar parado frente al armario, a medio vestir, buscando mis zapatos cuando ví que tu habías dibujado este pequeño corazón en el polvo sobre mi zapato.
You remember that?	¿Lo recuerdas?
It was the sweetest thing.	Fue la cosa más dulce.
And ever since that moment, I just felt... Sorry for you...	Y desde ese mismo momento, sentí lástima por ti...
Because I knew...	Por que sabía...
I knew that I had you.	Sabía que te tenía
Part of me didn't want it to work...	Parte de mi no quería que funcionara
But it did.	Pero lo hizo
Archimedes.	Arquímedes
Archimedes!	¡Arquímedes !
- I beg your pardon?	-¿Disculpa?
- Archimedes' formula.	-La fórmula de arquimedes
You know, uh, the... the naked guy who shouted "Eureka."	Tu sabes, el hombre desnudo que gritó "Eureka".
Why would she write down a mathematical formula?	¿Por qué escribiría una fórmula matemática?
Maybe it's some kind of a code or a language they don't understand.	Tal vez, es alguna clase de código o lenguaje que no entienden.
Archimedes' principle indicates that the upward buoyant force which is exerted on a body immersed in fluid,	El principio de Arquímedes indica que una fuerza flotante hacia arriba que es ejercida en un cuerpo sumerjido en fluido,
- whether fully...	-recive...
- Aram.	-Aram
Um, water displacement.	Movimientos de agua.
Boats displace water.	Los barcos desplazan agua
She's trying to tell us how they're getting her out of the country.	Ella está tratando de decirnos como la sacarán del país.
Contact the coast guard.	Contacta con la guardia costera.
Get photos of the brothers and Xiaoping Li to every port authority on the eastern seaboard.	Llevales fotos de los hermanos y Xiaoping Li A toda autoridad portuaria en la costa oriental.
What are you gonna tell him?	¿Qué le vas a decir?
Hey. What's going on?	Hey. ¿Qué sucede?
Where are we on Xiaoping Li?	¿Cómo vamos con Xiaoping Li?
They're trying to ship her out of the country.	Están tratando de enviarla fuera del país.
We're combing through the manifests now.	Nos estamos enredando con este manifiesto.
Where are you?	¿Donde estás tú?
Waiting on Reddington.	Esperando a Reddington.
He still hasn't shown.	Todavía no apareció.
I'm telling you, Keen. He used us.	Te lo digo Keen nos uso.
These guys... The Pavlovich brothers...	Estos tipos Los hermanos Pavlovich...
You remember what they did.	Recuerdas lo que hicieron.
You were there that day on the bridge.	Estabas ese día en el puente.
When we take them down, I want you to be there.	Cuando los liquidemos, quiero que estés ahí.
I will be, just as soon as...	Estaré, tan pronto como...
I'm gonna have to call you back.	Tendré que llamarte de nuevo.
Nice try.	Buen intento.
I was thirsty.	Estaba sediento.
Yes?	¿Si?
- Where is she?	- ¿Donde está ella?
- Who?	- ¿Quién?
Xiaoping Li.	Xiaoping Li.
You took her.	Tú la tomaste.
You used the FBI and the Pavlovich brothers to get to Tom and what, get Xiaoping? Make some bigger deal? Trade on her secrets?	Usaste al FBI y a los hermanos Pavlovich para llegar a Tom y qué, ¿Tomaste a Xiaoping para hacer un gran trato?
I have no use for germ warfare.	No tengo uso para la guerra biológica.
And as for using the FBI?	¿Y qué de usar al FBI?
I wouldn't be in this relationship if there wasn't a mutual benefit.	No estaría en esta relación Si no fuera por beneficio mutuo.
- Where is she?	¿Dónde esta ella?
- I don't know.	. No lo se.
I tried to bargain for her life, but negotiations went sideways.	Intenté negociar por su vida pero las negociaciones se fueron de lado
It was all I could do to get Tom.	Fue todo lo que pude hacer para tener a Tom
If we don't find her...	Si no la encontramos...
If she gets sent back to the Chinese,	Si la devuelven a los chinos
- she's gonna die.	-Va a morir.
- Tell me what you know.	-Dime lo que sabes.
We think they're putting her on a cargo ship.	Creemos que la están poniendo en un barco de carga.
We're not sure.	No estamos seguros
We're looking over the manifests, timetables, - and shipping routes. - She isn't cargo, Lizzy.	Estamos buscando en los manifiestos, los horarios, y rutas de navegación Ella no es una carga, Lizzy
She's contraband. This is a smuggling operation.	Es contrabando Eta es una operación de contrabando
And nothing gets smuggled in or out of the chesapeake without Rolph Cisco knowing about it.	Y nada sale de Chesapeake Sin que Rolph Cisco sepa.
Have Donald pay him a visit.	Haz que Donald le haga una visita
What is his obsession with you?	¿Cuál es su obsesión contigo?
You guys got, like, a, uh, daddy-daughter thing going on?	¿Es algo así como papá e hija?
What's your plan?	¿Cuál es el plan?
Is daddy coming over?	¿Papi viene para acá?
Is he gonna make me talk?	¿Viene a hacerme hablar?
No, he's not.	No.
I am.	Yo sí.
Rolph Cisco?	¿Rolph Cisco?
Tell us about the Pavlovich brothers.	Háblenos sobre los hermanos Pavlovich.
Who do you work for?	¿Para quién trabajas?
I have nothing to say.	No tengo nada que decir.
- Who do you work for?	- ¿Para quién trabajas?
- Liz, come on.	- Vamos, Liz.
You don't have it in you.	Tú no eres así. ¡Dios! ¡Déjenme salir de aquí! ¡Por favor!
Get me out!	¡Sáquenme!
Get me out!	¡Sáquenme!
It's okay.	Está bien.
It's okay.	Está bien.
Easy, easy.	Tranquila, tranquila.
We're the good guys.	Somos los buenos.
Here.	Ven.
Come here.	Ven acá.
I'm gonna put you down.	Voy a bajarte.
Easy.	Tranquila.
You broke my thumb.	Fracturaste mi pulgar.
Yeah, I did.	Sí, lo hice.
If you're looking for sympathy, you might want to start with honesty.	Si buscas simpatía tal vez quieras empezar con ser honesto.
Here's an example of honesty, Tom.	Te doy un ejemplo de honestidad, Tom.
You've been making me pancakes for two years.	Llevas haciéndome tortitas hace dos años.
- I hate pancakes.	- Odio las tortitas.
- You want honest?	- ¿Quieres honestidad?
Here's one.	Te tengo una.
If you're gonna handcuff somebody, don't break their thumb.	Si vas a esposar a alguien, no fractures su pulgar.
Your handcuffs.	Tus esposas.
One on the wrist.	Una en la muñeca.
One on the banister.	La otra en el barandal.
Do it.	Hazlo.
I am not here to hurt you, Liz.	No estoy aquí para hacerte daño, Liz.
My job was never to hurt you.	Mi trabajo nunca consistió en hacerte daño.
I'm one of the good guys.	Soy de los buenos.
Reddington...	Reddington...
He's not who you think.	No es quien piensas.
- I will find you.	- Te encontraré.
- I can prove it.	- Puedo probarlo.
The key in the lamp...	La llave en la lámpara...
I know you found it.	Sé que la encontraste.
Take it to radford bank.	Llévala al Banco Radford.
Box number 3929.	Cajilla número 3929.
He is not who you think he is.	Él no es quien tú crees.
Goodbye, Liz.	Adiós, Liz.
You want me to stop him?	¿Quieres que lo detenga?
No, we'll just let the tail follow him.	No, deja que lo sigan.
Tell me about Whitefog.	Cuéntame acerca de Niebla Blanca.
Whitefog was a black project started By the Chinese government five years ago.	Niebla Blanca fue un proyecto secreto iniciado por el gobierno chino hace cinco años.
You want to tell me what's going on with Agent Keen?	¿Quieres decirme qué sucede con la agente Keen?
- Sir?	- ¿Señor?
- Where was she today?	- ¿Dónde estuvo hoy?
And don't tell me you don't know.	Y no me digas que no lo sabes.
Was it Reddington?	¿Tiene que ver con Reddington?
Are there problems?	¿Hay problemas?
I think she's having troubles at home, sir.	Creo que tiene problemas en casa, señor.
I lost him.	Lo perdí.
He's gone.	Se fue.
No.	No.
This whole time, you've never let him out of your sight.	Todo este tiempo, nunca lo has perdido de vista.
Your people are following him now.	Tu gente lo está siguiendo ahora.
They are.	Lo están haciendo.
How is this all gonna end?	¿Cómo va a terminar esto?
This is an end.	Este es un fin.
And then something new will begin.	Y algo nuevo empezará.
You deserve the best in life, Lizzy.	Mereces lo mejor en esta vida, Lizzy.
I know that sounds odd coming from a man who has brought you some of the worst,	Sé que suena extraño viniendo de un hombre que te ha traído cosas peores
but it's the reason why Tom had to work so hard to be that for you...	pero es la razón por la cual Tom ha trabajado mucho para serlo para ti.
To be kind, to be thoughtful, make you laugh, to make you love him.	Amable, atento, hacerte reír, hacer que lo amaras.
Because you deserve that.	Porque te mereces eso.
And it will come.	Y vendrá.
The Goddess arrives in this Land	La Diosa llega a esta Tierra
Back in the days,	Tiempo atrás,
We'd look up at the sky and say "Please, God!	Mirábamos hacia el cielo y decíamos : "¡Por ​​favor, Dios!
Hurry up!"	¡Apresúrate!"
It's vague, but a theory of happiness	Es vago, pero una teoría de la felicidad.
Go, ready, go	tu, listo, tu
Unwavering, unforgiving	Inquebrantable, implacable
We've painted a precious dream	Hemos pintado un sueño precioso
Become the goddess in this world	Conviértete en la diosa de este mundo.
Forever and ever with a smile	Por siempre jamás con una sonrisa
He's Back Again~Nyo...	Ha vuelto otra vez~Nyo...
Akihabara, huh...	Akihabara, eh...
It's been a while.	Ha sido un tiempo.
Guess I'll pay that store a visit...	Supongo que haré una visita a esa tienda...
Welcome, welcome~nyo.	Bienvenido Bienvenido.
Dejiko is accepting your dues and offerings today, as usual~nyo.	Dejiko está aceptando tus cuotas y ofrendas hoy, como siempre~nyo.
?	?
Hello!	¡Hola!
Nyo?	¿tú?
I have a delivery!	¡Tengo una entrega!
No, that's wrong!	¡No eso está mal! ¡Malo malo!
Bad, bad! Not what I meant!	¡No es lo que quise decir!
Lemme start over!	¡Déjame empezar de nuevo!
Hey!	¡Ey!
How're y'all doing?	¿Cómo están todos ustedes?
Nooooo!	¡Nooooo!
That guy's foul!	¡¡¡Ese tipo es una falta!
I'm gonna throw up!	¡¡¡Voy a vomitar!
Maybe that's going a bit too far...	Tal vez eso es ir un poco demasiado lejos...
Alright, take a deep breath...	Bien, respira hondo...
Oh, Abarenbou!	¡Ay, Abarenbou!
How long has it been?	¿Cuánto tiempo ha pasado?
Don't look him in the eyes~nyo.	No lo mires a los ojos~nyo.
He'll be a pain in the ass~nyo.	Será un dolor en el culo~nyo.
He's doing that already~nyu.	Ya lo está haciendo~nyu.
Huh?	¿Eh?
Did the store change?	¿Cambió la tienda?
It seems like it's changed location.	Parece que ha cambiado de ubicación.
What did you say!	¿¡Qué dijiste!
?	?
So it changed...	Así que cambió...
It's changed since then...	Ha cambiado desde entonces...
From those days...	De aquellos días...
Or maybe it's me who changed...	O tal vez soy yo quien cambió...
I just wanted to say that line!	¡Solo quería decir esa línea!
Our customers want nothing to do with us while he's around~nyo.	Nuestros clientes no quieren tener nada que ver con nosotros mientras él está cerca~nyo.
The way he's repeating himself is pissing me off~nyu.	La forma en que se repite me está cabreando~nyu.
Oh my!	¡Oh yo!
It's huge!	¡Es enorme!
This is amazing!	¡Esto es increíble!
Otome!	¡¡¡Otome!
- Huh?	- ¿Eh?
- What's going on?	- ¿Qué está sucediendo?
Wow, he's right.	Vaya, tiene razón.
They look amazing.	Se ven increíbles.
With all that fuss he's making, I'd rather steer cleer.	Con todo ese alboroto que está armando, prefiero ir con cuidado.
Wow!	¡Guau!
Cool Japan!	¡Japón genial!
Isn't this store cool?	¿No es genial esta tienda?
We should go!	¡Deberíamos irnos!
Let's try going inside!	¡Intentemos entrar!
It sounds like a ruckus outside~nyo.	Suena como un alboroto afuera~nyo.
There's a whole crowd~nyu.	Hay toda una multitud~nyu.
Is there a celebrity out there?	¿Hay alguna celebridad por ahí?
Whew, I can't control this sudden urge to buy merch from this store!	¡Vaya, no puedo controlar este impulso repentino de comprar merchandising en esta tienda!
Business is booming!	¿¡Los negocios están prosperando!
?	?
Give me this!	¡Dame esto!
That, too!	¡Eso también!
This please!	¡Esto por favor!
Yippee!	¡Yippe!
We bought so much!	¡Compramos tanto!
Thank you very much~nyo!	¡Muchas gracias~nyo!
Thank you very much!	¡Muchas gracias!
Nyo...	Nyo...
We sold all our existing stock~nyo.	Vendimos todo nuestro stock existente~nyo.
Puchiko, are you alright~nyo?	Puchiko, ¿estás bien~nyo?
I'm fine~nyu.	Estoy bien~nyu.
I was hiding inside the shelter~nyu.	Estaba escondida dentro del refugio~nyu.
I'm beat...	Estoy exhausto...
Water...	Agua...
Get me some water...	Dame un poco de agua...
Here~nyo.	Aquí ~ nyo.
Good job~nyo.	Buen trabajo ~ tú.
Go ahead and drink some water.	Adelante, bebe un poco de agua.
COLD	FRÍO
It might stink a bit though.	Aunque podría apestar un poco.
Thanks...	Gracias...
Whew, close call.	Vaya, llamada cercana.
It'd be rude to spill water this tasty.	Sería de mala educación derramar agua tan sabrosa.
Admirable drinking~nyo!	Beber admirable ~ nyo!
This is a good store.	Esta es una buena tienda.
This store really is a keeper...	Esta tienda es realmente un guardián...
Ciao!	¡Ciao!
Thanks to Abanrenbo, our business is thriving more than ever!	¡Gracias a Abanrenbo, nuestro negocio prospera más que nunca!
We better close the store before anything else happens.	Será mejor que cerremos la tienda antes de que pase algo más.
Oh, I had a new song planned!	¡Oh, tenía una nueva canción planeada!
That was close!	¡Eso estuvo cerca!
I almost forgot about it!	¡Casi lo olvido!
Can I sing?	¿Puedo cantar?
No, don't sing!	¡No, no cantes!
The storm wiped our tension away, and it crashed bitcoin along the way~	La tormenta eliminó nuestra tensión y destruyó bitcoins en el camino~
Crashed it along the way...	Lo estrellé en el camino...
We told you not to sing~nyo!	¡Te dijimos que no cantaras~nyo!
We're out of time anyways.	Estamos fuera de tiempo de todos modos.
Let's go home and eat dinner~nyu.	Vayamos a casa y cenemos~nyu.
EVERGLOW	EVERGLOW
Ah Na Ah Na	Ah Na Ah Na
Saying 'goodbye' is a no, no	Decir 'adiós' es un no, no
Is it only something you say as a greeting?	¿Es solo algo que dices como saludo?
no, no	no no
Don't get the situation?	¿No entiendes la situación?
yeah, yeah	sí, sí
It means hide so I can't see you, just go away	Significa esconderse para que no pueda verte, solo vete
I'll count to three so hurry yeah, yeah	Contaré hasta tres, así que date prisa, sí, sí
Enough excuses now blah, blah	Basta de excusas ahora bla, bla
If possible, go as far away as you can	Si es posible, vete lo más lejos que puedas
I just wanna let you know, stay out of my sight	Solo quiero hacertelo saber, que te mantengas fuera de mi vista
Why do you make me feel so small	¿Por qué me haces sentir tan pequeño?
I always go round in circles for you	Siempre doy vueltas en círculos por ti
Why do you make me so sad	¿Por qué me pones tan triste?
I should've been the main character in the first place	Debería haber sido el personaje principal en primer lugar
Goodbye, Au Revoir, Adios (what?	Adiós, Au Revoir, Adios (¿qué?
)	)
Goodbye, Au Revoir, Adios (yeah)	Adiós, Au Revoir, Adios (sí)
Goodbye, Au Revoir, Adios (sh...)	Adiós, Au Revoir, Adios (sh ...)
Goodbye, Au Revoir, Adios	Adiós, Au Revoir, Adios
Goodbye, Au Revoir, Adios	Adiós, Au Revoir, Adios
Lalalala oh--- hey	Lalalala Oh hola
See You Later, Don't need anything, See You Later	Hasta luego, no necesito nada, hasta luego
Goodbye, Au Revoir, Adios	Adiós, Au Revoir, Adios
See You Later, Don't need anything, See You Later	Hasta luego, no necesito nada, hasta luego
Goodbye, Au Revoir, Adios	Adiós, Au Revoir, Adios
I don't seem like myself?	¿No me parezco a mí mismo?
Then I wanna go bang bang	Entonces quiero ir a bang bang
You think it's a joke cause I'm laughing, want me to hang man	Crees que es una broma porque me estoy riendo, quieres que te cuelgue hombre
NA NA to the A A to the NO NO NO	NA NA a la AA a la NO NO NO
Let me end this, now with you it's GO GO GO love me hate me, several times a day going crazy	Déjame terminar esto, ahora contigo es GO GO GO ámame, odiame, varias veces al día volviéndome loco
Like this I'm, oh ratatata---	Así estoy, oh ratatata ---
Hope you keep your mouth shut of anything about me	Espero que mantengas la boca cerrada si hablas algo mal sobre mí
I just wanna let you know, don't let it get to my ear	Solo quiero hacertelo saber, que no dejes que llegue a mis oídos
Why do you make me feel so small	¿Por qué me haces sentir tan pequeño?
I always go round in circles for you	Siempre doy vueltas en círculos por ti
Why do you make me so sad	¿Por qué me pones tan triste?
I should've been the main character in the first place	Debería haber sido el personaje principal en primer lugar
Goodbye, Au Revoir, Adios (what?	Adiós, Au Revoir, Adios (¿qué?
)	)
Goodbye, Au Revoir, Adios (yeah)	Adiós, Au Revoir, Adios (sí)
Goodbye, Au Revoir, Adios (sh...)	Adiós, Au Revoir, Adios (sh ...)
Goodbye, Au Revoir, Adios	Adiós, Au Revoir, Adios
Goodbye, Au Revoir, Adios	Adiós, Au Revoir, Adios
Lalalala oh--- hey	Lalalala Oh hola
See You Later, Don't need anything, See You Later	Hasta luego, no necesito nada, hasta luego
Goodbye, Au Revoir, Adios	Adiós, Au Revoir, Adios
See You Later, Don't need anything, See You Later	Hasta luego, no necesito nada, hasta luego
Goodbye, Au Revoir, Adios	Adiós, Au Revoir, Adios
Nanana-nananana-nanananananana	Nanana-nananana-nanananananana
Nanana-nananana-nanananananana	Nanana-nananana-nanananananana
Nanana-nananana	Nanana-nananana
Goodbye, Au Revoir, Adios	Adiós, Au Revoir, Adios
The astronomers are assembled in a large hall embellished with instruments.	Los astrónomos están reunidos en un gran cuarto repleta de instrumentos.
The president and members of the committee enter.	El presidente y miembros del comité entran.
Everybody takes his seat.	Todo el mundo toma asiento.
Entrance of six man-servants carrying the telescopes of the astronomers.	Entrada de seis sirvientes cargando los telescopios de los astrónomos.
The president takes his chair and explains to the members his plan for a trip to the moon.	El presidente toma su lugar y explica a los miembros su plan de un viaje a la Luna.
The scheme is approved by many. But one member violently opposes same.	Su plan es aprovado por muchos, pero un miembro se opone violentamente.
After some argument, the president throws his papers and books at his head.	Después de discutir, el presidente le arroja sus papeles y libros a la cabeza.
Upon order being restored, the trip proposed by the president is voted by acclimation.	Luego de que el orden se ha reestablecido el viaje propuesto por el presidente es votado por una comisión.
The man-servants bring travelling suits.	Los sirvientes les traen sus trajes de viaje.
President Barbenfouillis selects five colleagues to accompany him:	El presidente Barbenfouillis selecciona cinco colegas para que lo acompañen.
Nostradamus, Alcofrisbas, Omega, Micromegas and Parafaragamus.	Nostradamus, Acofibas, Omega, Micromegas y Bagafarraganus.
We enter the interior of the workshop where smiths, mechanics, weighers, carpenters, upholsterers, et cetera are working hard at the completion of the machine.	Entran en el interior de un taller donde herreros, mecánicos, pesadores, carpinteros tapizadores, etcétera, están trabajando duro para completar la máquina.
Micromegas accidentally falls into a tub of nitric acid.	Micromegas accidentalmente cae en un barril de ácido nítrico.
A workman informs the astronomers that if they would ascend to the roof, they will witness a splendid spectacle:	Un trabajador informa a los astrónomos que si ascendisen al techo presenciarían un espectáculo magnífico.
the casting of the gun.	La fundición del cañón.
Against the horizon, the chimneys are seen belching forth volumes of smoke.	Contra el horizonte las chimeneas están echando volúmenes de humo.
Suddenly, the flag is hoisted.	De repente una bandera es izada.
At the signal, a mass of molten steel is directed from each furnace into the mold for the gun.	Ante una señal, una masa de acero fundido es dirigida desde cada horno, hacia el molde para el cañón.
The mold pours forth flames and vapor.	El molde larga llamas y vapor.
On the top of the roofs of the town, pompous preparations have been made.	Arriba de los techos de la aldea pomposas preparaciones están llevándose a cabo.
The shell is in position, ready to receive the travelers.	El casquillo se encuentra en posición, listo para recibir a los viajeros.
These arrive respond to the acclamations of the crowd and finally enter the shell.	Estos llegan. Asienten a las aclamaciones de la multitud y finalmente entran al casquillo.
A marine closes the bridge through which they have passed.	Un marino cierra el puente por donde han pasado.
A number of gunners are pushing the shell up an incline into the mouth of the gun.	Un grupo de cañoneros empujan el casquillo hacia arriba, dentro de la boca del cañón.
The cannon is loaded.	El cañón está cargado.
The bridge is closed.	El puente está cerrado.
Everyone is waiting for the signal which starts the shell on its voyage.	Todos están esperando ansiosamente la señal que lance al casquillo en su viaje.
An officer gives the signal.	El oficial da la señal.
The gun is fired and the shell disappears into space.	El cañón es disparado. Y el casquillo desaparece en el espacio.
The shell coming closer every minute, the moon magnifies rapidly until finally it attains colossal dimensions.	El casquillo se acerca cada minuto. La luna se agranda rápidamente hasta que finalmente obtiene dimensiones colosales.
Suddenly, the shell pierces the eye of the moon.	De repente el casquillo perfora el ojo de la luna.
The shell comes down with a crash.	El casquillo aterriza con un estallido.
The astronomers get out and are delighted at the landscape which is new to them.	Los astrónomos salen y están encantados con el paisaje, que es nuevo para ellos.
Against the horizon, the Earth is rising slowly into space illuminating the picture with a fantastic light.	Contra el horizonte, la Tierra se está alzando lentamente en el espacio. Iluminando la escena con una luz fantástica.
The astronomers see craters everywhere.	Los astrónomos, ven cráteres por todos lados.
Just as they are about to explore, an explosion throws the unfortunate men violently in all directions.	Justo cuando están por explorar, una explosión arroja a los desafortunados hombres violentamente en todas direcciones.
The astronomers show signs of fatigue after the rough trip they have just had.	Los astrónomos muestran señales de fatiga, luego del duro viaje que han tenido.
They stretch themselves out on the ground and go to sleep.	Se estiran en el suelo y se van a dormir.
Seven gigantic stars representing the Great Bear appear slowly, and out of the stars come faces of women who seem annoyed at the presence of these intruders in the moon.	Siete gigantescas estrellas, representando a la Osa Mayor aparecen lentamente, y desde dentro de las estrellas aparecen caras de mujeres quienes parecen molestas ante la presencia de estos intrusos en la Luna.
Then, the stars are replaced by a lovely vision of Phoebes on the crescent, of Saturn in his globe and of charming young girls holding up a star.	Luego las estrellas son reemplazadas por hermosas visiones de Phibes en una luna cresciente.
They decide to punish the terrestrials in an exemplary manner.	De Saturno en su orbe, rodeado de su anillo y de encantadoras jóvenes sosteniendo en alto una estrella.
By order of Phoebes, snow is falling from all quarters, covering the ground with its white coat.	Deciden castigar a los terrestres de una manera ejemplar. Por orden de Phibes, la nieve cae de todos los rincones cubriendo el suelo con su tapado blanco.
So the unfortunate voyagers wake up half-frozen.	El frío se vuelve insoportable así que los desafortunados viajeros despiertan medio congelados
They decide without hesitation and in spite of the danger to descend into the interior of the great crater in which they disappear one-by-one whilst the snowstorm is still raging.	Deciden, sin titubear y a pesar del peligro, descender al interior de un gran cráter.
The astronomers arrive into the interior of a most curious grotto filled with enormous mushrooms of every kind.	Los astrónomos llegan al interior de una gruta muy curiosa, llena de enormes hongos de todas clases.
One of them opens his umbrella to compare its size with the mushroom, but the umbrella suddenly takes root and transforming itself into a mushroom starts growing attaining gigantic proportions.	Uno de ellos abre su paraguas para comparar su tamaño con el de un hongo. Pero el paraguas de repente echa raíces y transformándose en un hongo empieza a crecer gradualmente, obteniéndo gigantescas proporciones.
The astronomers suddenly notice strange beings coming out from underneath the mushrooms while making singular contortions. These are the Selenites, or inhabitants of the Moon.	Los astrónomos de repente notan extraños seres saliendo de abajo de los hongos.
A fantastical being rushes on an astronomer who defends himself and with a stroke of his umbrella the Selenite bursts into a thousand pieces.	Estos son los Selenitas o habitantes de la Luna. El fantástico ser se apresura hacia el astrónomo quien se defiende.
But the Selenites are arriving in numbers.	Y con un golpe de su paraguas el Selenita explota en mil pedazos.
The astronomers are captured, bound and taken to the palace of the King of the Selenites.	Pero los Selenitas llegan de a montones.
On a splendid throne, surrounded by living stars, the Selenite king is seated.	Los astrónomos son capturados atados, y llevados al palacio del Rey de los Selenitas.
President Barbenfouillis makes a dash for the King of the Selenites and lifting him like a feather throws him violently on the ground.	En un espléndido trono, rodeado de estrellas vivientes, se encuentra sentado el Rey Selenita.
The astronomers run away in the midst of the general disorder.	El Profesor Barbenfouillis se acerca bruscammente al Rey de los Selenitas, y levantándolo como una pluma lo arroja violentamente al suelo.
The astronomers run at full speed turning around each time they are pressed too closely and reducing the fragile beings to dust.	Los astrónomos huyen en medio del desorden general. El ejército Selenita los persigue.
At last, the astronomers have found the shell and quickly shut themselves in the interior.	Los astrónomos corren a toda velocidad, girando cada vez que son perseguidos desde muy cerca y reduciendo a los últimos seres a polvo.
Thanks to the advance, they have succeeded in getting over their adversaries. Only one, the president, has been left behind.	Finalmente, los astrónomos encuentran la nave y rápidamente se encierran en su interior.
He rushes to the rope which hangs from the point of the shell and letting himself slide down the rope he gives it an impetus which causes the shell to fall off the edge of the moon.	Gracias al avance ellos triunfan escapando del adversario. Sólo uno, el presidente, ha sido dejado atrás.
The shell falls with sickening rapidity.	Él se apresura hasta la cuerda que cuelga de la punta de la nave y dejándose deslizar por la cuerda, le da un impulso que causa que la nave caiga desde el borde de la Luna.
The shell balances and thanks to the hermetically sealed air in its interior rises slowly to the surface.	La nave cae con una rapidez que marea. El mar aparece.
The shell is picked up by a steamer which tows it to port.	La nave se balancea y gracias al aire sellado herméticamente en su interior, se eleva lentamente hasta la superficie.
The Mayor welcomes the astronomers with a speech, and the general ovation awaits their happy return.	Los hombres dan la bienvenida a los astrónomos con un discurso, y una ovación general espera su feliz regreso.
in the shop of his father, the upholsterer for the king, Jean-Baptiste Poquelin reads to his brothers and sisters his first comical verses	En la tienda de su padre, tapicero del rey, Jean-Baptiste Poquelin lee a sus hermanos y hermanas sus primeros versos cómicos.
an actor of the Comedia Italia, Tiberio Fiorelli aka Scaramouche wishes to purchase some accessories	Aquel día, un actor de la Comedia Italiana, Tiberio Fiorelli, aka Scaramouche, entra en la tienda para comprar algunos accesorios.
I dream too of playing comedy tonight at 20:00 Pearl Tavern	Yo también sueño con la escena... Esta noche, 20:00h., Taberna de La Perle
that night... at the Pearl Taverne	Por la noche... En la taberna de La Perle
a few months later, Jean-Baptiste Poquelin aka Molière founds with the Béjart family the Illustrious Theater and they tour the whole of France	Unos meses más tarde, Molière funda con la familia Béjart el Ilustre Teatro con el que irá de gira por Francia.
happy days	Días felices...
bad days	Días de penas.
at the Versailles Castle	En el castillo de Versailles.
Molière wishes an audience with King Louis 14 but he's resented by the King's court	Molière desea audiencia con el rey Luis XIV, pero es despreciado por los cortesanos.
The King	El Rey.
the monarch has invited Molière at his table	El monarca ha invitado a Molière a su mesa.
the frivolous banter of the King's Men inspired his work	Los frívolos propósitos de los cortesanos van a inspirar su obra.
a young player of his company became his wife:	Una joven actriz de su compañía se convirtió en su esposa:
Armande Béjart	Armande Béjart
his trusted maid La Forest consoles Molière when his wife is cheating he reads her his new play The Imaginary Invalid	Ella le consuela de las traiciones de su mujer  Es a ella a quien le lee su nueva obra El Enfermo Imaginario.
february 17th 1673 at the royal palace the 4th performance of the Imaginary Invalid	17 de febrero de 1673. En el palacio real, la cuarta representación de El Enfermo Imaginario.
the silly graduation of Argan as a doctor	La cómica entronización de Argan como médico.
this is not acted Molière is really dying	Esto no es teatro. Molière va a morir.
The End the intertitles for "Molière" were added in 2008 by Gaumont. This restauration was possible thanks to the original scenario located at the BNF, the department for Performance Arts	Fin
The Abyss	El Abismo
Producer:	Productor:
Hjalmar Davidsen Screenplay and Direction:	Hjalmar Davidsen Guión y Dirección:
Urban Gad Cinematography:	Urban Gad Dtor. Fotografía:
Alfred Lind	Alfed Lind
Young hearts.	Jóvenes corazones.
Duty calls.	El deber llama.
A welcome invitation	Una invitación de bienvenida.
Dear Miss Vang:	Querida Señorita Vang:
It would please my parents and myself very much, if you... would like to spend your summer vacation here at the vicarage.	Nos complacería mucho a mis padres y a mí, si a usted le apeteciese pasar las vacaciones de verano en la vicaría.
Tell me which day and train you will... be arriving on, and I'll pick you up at the station. Kind regards, Knud Svane.	Dígame el día y el tren en el que vendrá, y la recogeré en la estación.
Summer vacation.	Vacaciones de verano.
A sunday at the vicarage.	Un domingo en la vicaría.
The travelling circus.	El circo rodante.
...in the field behind the inn.	...en el campo detrás de la posada.
Performances by all artists.	Funciones de todos los artistas.
Special atraction!	¡Atracción especial!
Never seen before!	¡Nunca vista antes!
Mr. Rudolph.	Mr. Rudolph.
Cowboy and Wrangler.	Vaquero y domador.
The tightrope dancer.	La bailarina de la cuerda floja.
Miss Evelyn...	La señorita Evelyn...
A fatal promise.	Una promesa fatídica.
First time in Gjerlev! Circus Fortuna.	¡Por primera vez en Gjerlev!
Tonight amazing Galla performance... in the large tent in the field behind the inn.	Circo Fortuna. Esta noche impresionante actuación en la gran tienda detrás de la posada.
Performances by all artists.	Actuaciones de todos los artistas.
After the show.	Después de la función.
Longing and desire....	Anhelos y deseos...
I could not stay any longer.	No podía quedarme más.
I have escaped with the man I love.	He escapado con el hombre que amo.
Never think about marrying me, but forgive me.	Nunca pensaste casarte conmigo, pero perdóname.
Magda.	Magda.
Some time later in Copenhagen.	Poco después en Copenhague.
In the artists' hotel.	En el hotel de los artistas.
