Previously on "The Blacklist"...	سابقا في "القائمة السوداء"...
- Any luck?	-هل حالفك الحظ؟
- I can't get ahold of Reddington.	-لا أستطيع الوصول إلى (ريدينغتون ).
- You told him the location where the brothers were holding Xiaoping Li, right?	-لقد اخبرته عن المكان حيث الذي يحتجز فيه الإخوة (شاوبينغ)، صحيح؟
- Mm-hmm.	ألا تجدين أن الأمر
- Don't you find it a hell of a coincidence that we show up there, they're gone, and now we can't get ahold of Reddington?	مصادفة غريبة أننا وصلنا هناك وهو اختفوا، والآن لا نستطيع الوصول لـ(ريدينغتون)؟
- We've been played.	-تم التلاعب بنا .
- No.	-لا .
Red put us on to the Pavlovich brothers because he knew it would lead him straight to Xiaoping Li.	أخبرنا (ريد) بشأن الإخوة "بافلوفيتش" لأنه علِم أن ذلك سيقوده مباشرة إلى (شاوبينغ لي).
That woman's worth millions.	تلك المرأة تساوي مليون.
Where are you going?	إلى أين تذهبين؟
I'm going to find Reddington, get some answers.	سأذهب للعثور على (ريدينغتون)، والحصول على بعض الأجوبة.
Reddington, I need you to call me, please.	(ريدينغتون)، أريدك أن تتصل بي، رجاءا.
I need some help with the case.	أحتاج لبعض المساعدة بخصوص القضية.
A gift from Reddington. Enjoy.	هدية من (ريدينغتون)، استمتعي بها.
Two years wasted.	أضعنا سنتين.
Two years we spent. On what?	أمضينا سنتين، على ماذا؟
Do you care at all what you've done to me...	هل تهتم مطلقا بما فعلته بي...
What you've done to my life?	ماذا فعلت بحياتي؟
What has it done to you?	بما أفادك ذلك؟
Who could do such a thing?	من قد يفعل شيئا كهذا؟
Finding you, stopping you...	إيجادك، إيقافك...
You'd think I'd be happy you're gonna spend the rest of your life in prison.	تعتقد أنني سأكون سعيدة بأنك ستمضي بقية حياتك في السجن.
You'd think I'd get some satisfaction out of that, but I don't because nothing...	هل تعتقد أنني سأحظى ببعض الرضى من خلال هذا، لكن لن أفعل ذلك لأن لا شيء...
No sentence, no punishment, no revenge, could ever come close to making up for what you've done.	لا عقوبة، لا عقاب، لا انتقام، أن يكون أقرب إلى التعويض عما قمت به.
- I was doing my job.	-كنت أقوم بعملي .
- Your job?	-عملك؟
That was our life!	تلك كانت حياتنا!
We were going to have a baby to...	لقد كنا على وشك أن نحظى بطفل...
You begged me to have a baby!	لقد ترجيتني ليكون لدينا طفل!
- I was doing my job.	-كنت أقوم بعملي .
- Stop talking about your job!	-توقف عن الحديث بشأن عملك !
You, this...	أنت، هذا..
Everything was a lie!	كل شيء كان كذبة!
My life was a lie!	حياتي كانت كذبة!
Every feeling, every memory...	كل شعور، كل ذكرى..
Say something to your wife, who's dying in front of you.	قل شيئا لزوجتك، التي تموت أمامك.
Say something.	قل شيئا.
It was the shoes.	لقد كانت الأحذية.
What does that mean?	ماذا يعني هذا؟
That's when I knew.	هناك حيث علمت.
It was those brown leather shoes.	لقد كانت تلك الأحذية الجلدية السمراء
It was our third or maybe fourth date.	كان ذلك ثالت أو رابع موعد لنا
You'd come over to my place on Halstead, and we ordered, uh...	أتيت إلى منزلي في "هالستيد"،
Takeout and rented a movie that we never finished because we ended up...	طلبنا أكلة جاهزة واستأجرنا فيلما والذي لم نكمله أبدا لأن المطاف انتهى بنا..
And you had to get up early for work.	وكان عليك الاستيقاظ باكرا لأجل العمل.
And by the time I got up, you were gone.	وفي الوقت الذي نهضت فيه، اختفيت
I remember standing in the closet, half-dressed, reaching for my shoes when I saw that you had drawn this little heart	أتذكر وقوفي في الحجرة، نصف عاري، أمد يدي إلى أحديثي حينما رأيت أنك رسمت ذلك القلب الصغير
In the dust on my shoe.	على غبار حذائي.
You remember that?	هل تذكرين ذلك؟
It was the sweetest thing.	كان ذلك أحلى شيء.
And ever since that moment, I just felt...	ومنذ تلك اللحظة، شعرت..
Sorry for you...	بالأسف عليك فحسب...
Because I knew...	لأنني عرفت..
I knew that I had you.	عرفت أنني تمكنت منك.
Part of me didn't want it to work...	جزء مني لم يرد لذلك الأمر أن ينجح...
But it did.	لكنه نجح.
Archimedes.	"أرخميدس".
Archimedes!	"أرخميدس"!
- I beg your pardon?	-معذرة؟
- Archimedes' formula.	-معادلة "أرخميدس "
You know, uh, the... the naked guy who shouted "Eureka."	تعلمون الرجل العاري الذي أطلف النار على "أوريكا"
Why would she write down a mathematical formula?	لماذا قد تدون معادلة رياضية؟
Maybe it's some kind of a code or a language they don't understand.	ربما هي عبارة عن شفرة من نوع ما أو لغة لا يفهمونها.
Archimedes' principle indicates that the upward buoyant force which is exerted on a body immersed in fluid,	يشير مبدأ "أرخميدس" إلى أن قوة الطفو التصاعدي الممارس على جسم مغمور في السائل،
- whether fully...	-سواء أكان كاملا ...
- Aram.	-آرام) ).
Um, water displacement. Boats displace water.	نزوح الماء، القوارب تزيح الماء.
She's trying to tell us how they're getting her out of the country.	إنها تحاول إخبارنا عن كيف سينقلونها خارج البلاد.
Contact the coast guard.	اتصلوا بخفر السواحل.
Get photos of the brothers and Xiaoping Li to every port authority on the eastern seaboard.	أرسلوا صورا للإخوة و(شاوبينغ لي) إلى كل إدارة ميناء داخل الساحل الشرقي.
What are you gonna tell him?	ماذا ستخبرينه؟
Hey. What's going on?	ما الذي يحدث؟
Where are we on Xiaoping Li?	أين وصلنا في قضية (شاوبينغ لي)؟
They're trying to ship her out of the country.	إنهم يحاولون إخراجها من البلاد بحرا.
We're combing through the manifests now. Where are you?	نحن نفتش من خلال قوائم الشحن الآن، أين أنت؟
Waiting on Reddington. He still hasn't shown.	في انتظار (ريدينغتون)، لم يظهر بعد.
I'm telling you, Keen. He used us.	كما أخبرتك (كين)، لقد استغلنا.
These guys...	هؤلاء الرجال..
The Pavlovich brothers...	الإخوة "بافلوفيتش"...
You remember what they did.	تذكرين ما قاموا به.
You were there that day on the bridge.	لقد كنت هناك ذلك اليوم على الجسر.
When we take them down, I want you to be there.	حينما نطيح بهم، أريدك أن تكوني هناك.
I will be, just as soon as...	سأكون هناك، تماما حينما...
I'm gonna have to call you back.	سأعيد الإتصال بك.
Nice try.	محاولة جيدة.
I was thirsty.	كنت أشعر بالعطش.
Yes?	نعم؟
- Where is she?	-أين هي؟
- Who?	-من؟
Xiaoping Li. You took her.	(شاوبينغ لي)، لقد أخدتها.
You used the FBI and the Pavlovich brothers to get to Tom and what, get Xiaoping?	لقد استغليت مكتب التحقيقات الفدرالي والإخوة "بافلوفيتش" للوصول إلى (توم) وماذا بعد. الحصول على (شاوبينغ)؟
Make some bigger deal?	القيام ببعض الصفقات الكبيرة؟
Trade on her secrets?	المتاجرة بأسرارها؟
I have no use for germ warfare.	ليست لي مصلحة في الحرب الجرثومية.
And as for using the FBI?	وبخصوص استغلال مكتب التحقيقات الفدرالي؟
I wouldn't be in this relationship if there wasn't a mutual benefit.	لم أكن لأكون طرفا في هذه العلاقة لو لم تكن هناك منافع مشتركة.
- Where is she?	-أين هي؟
- I don't know.	-لا أعلم .
I tried to bargain for her life, but negotiations went sideways.	حاولت المساومة على حياتها، لكن المفاوضات لم تسر في الإتجاه الصحيح.
It was all I could do to get Tom.	كان ذلك كل ما يمكنني القيام به للحصل على (توم).
If we don't find her...	لو لم نعثر عليها...
If she gets sent back to the Chinese,	لو تم إعادتها للصينيين،
- she's gonna die.	-سوف تموت .
- Tell me what you know.	-أخبريني بما تعلمين .
We think they're putting her on a cargo ship. We're not sure.	نعتقد أنهم يضعونها على متن سفينة شحن، لسنا متأكدين.
We're looking over the manifests, timetables,	نحن نفحص قوائم الشحن، جداول المواعيد،
- and shipping routes.	-وطرق الشحن .
- She isn't cargo, Lizzy.	-لم يتم شحنها يا (ليزي ).
She's contraband. This is a smuggling operation.	إنها مثل السلعة الممنوعة، هذه عملية تهريب.
And nothing gets smuggled in or out of the chesapeake without Rolph Cisco knowing about it.	ولا شيء يتم تهريبه داخل أو خارح "تشيزبيك" "{\cH1B92E5}تشيزبيك" خليج يقع في الأراضي الأمريكية دون أن يعلم (رولف سيسكو) بشأنه.
Have Donald pay him a visit.	اجعلي (دونالد) يزوره.
What is his obsession with you?	ما سبب هوسه بك؟
You guys got, like, a, uh, daddy-daughter thing going on?	أنتم تشبهون، شيء من قبيل أب-بنت يحدث؟
What's your plan?	ما هي خطتك؟
Is daddy coming over?	هل سيمر الاب بالجوار؟
Is he gonna make me talk?	هل سيجعلني أتكلم؟
No, he's not.	كلا.
I am.	أنا من سيفعل ذلك.
Rolph Cisco?	(رولف سيسكو)؟
Tell us about the Pavlovich brothers.	أخبرنا بشأن الإخوة "بافلوفيتش".
Who do you work for?	لصالح من تعمل؟
I have nothing to say.	ليس لدي شيء لأقوله.
- Who do you work for?	-لصالح من تعمل؟
- Liz, come on.	-ليز)، بحقك) .
You don't have it in you.	ليست من شيمك.
God! Aah!	يا إلهي!
Let me out of here! Please!	احرجوني من هنا، من فضلكم!
Get me out! Get me out!	أخرجوني، اخرجوني!
It's okay. It's okay.	لا بأس، لا بأس.
Easy, easy. We're the good guys.	على مهلك، على مهلك، نحن الأشخاص الأخيار.
Here. Come here.	هنا، تعالي هنا.
I'm gonna put you down.	سأضعط على الأرض.
Easy.	على مهلك
You broke my thumb.	لقد كسرت إبهامي.
Yeah, I did.	نعم، فعلت ذلك، لو كنت تبحث عن العطف،
If you're looking for sympathy, you might want to start with honesty.	ربما عليك البدء بالصدق.
Here's an example of honesty, Tom.	إليك مثالا عن الصدق يا (توم).
You've been making me pancakes for two years.	لقد كنت تُعِدُّ الفطائر من أجلي لمدة سنتين
- I hate pancakes.	-أكره الفطائر .
- You want honest?	-تريدين الصدق؟
Here's one.	إليك مثالا.
If you're gonna handcuff somebody, don't break their thumb.	لو كنت ستقيدين أحدهم، لا تكسري إبهامه.
Your handcuffs.	أصفادك.
One on the wrist. One on the banister. Do it.	واحد على الرسغ، والآخر على الدرج، نفذي ذلك.
I am not here to hurt you, Liz.	لست هنا لأقوم بإيذائك (ليز).
My job was never to hurt you.	لم تكن تلك مهمتي مطلقا.
I'm one of the good guys.	أنا أحد الأشخاص الطيبين.
Reddington...	(ريدينغتون)..
He's not who you think.	إنه ليس من تظنين.
- I will find you.	-سوف أعثر عليك .
- I can prove it.	-يمكنني إثبات ذلك .
The key in the lamp...	المفتاح في المصباح..
I know you found it.	أعلم أنك عثرت عليه.
Take it to radford bank. Box number 3929.	خديه إلى "بنك رادفورد"، صندوق رقم 3929.
He is not who you think he is.	إنه ليس من تعتقدين.
Goodbye, Liz.	وداعا (ليز).
You want me to stop him?	هل تريدني أن أوقفه؟
No, we'll just let the tail follow him.	لا، سندع الذيل يتبعه.
Tell me about Whitefog.	أخبريني عن "الضباب الأبيض"
Whitefog was a black project started	"الضباب الأبيض" مشروع أسود بدأ
By the Chinese government five years ago.	من طرف الحكومة الصينية قبل 5 سنوات
You want to tell me what's going on with Agent Keen?	هلا أخبرتني بما يحدث مع العميلة (كين)؟
- Sir?	-سيدي؟
- Where was she today?	-أين كانت هذا اليوم؟
And don't tell me you don't know.	ولا تخبرني أنك لا تعلم.
Was it Reddington?	هل الأمر متعلق بـ(ريدينغتون)؟
Are there problems?	هل هناك مشاكل؟
I think she's having troubles at home, sir.	أعتقد أنها تعاني من مشاكل في البيت يا سيدي.
I lost him.	لقد فقدته.
He's gone.	لقد اختفى.
No.	لا.
This whole time, you've never let him out of your sight.	كل هذا الوقت، لم تدعه يغيب عن ناظرك.
Your people are following him now.	رجالك يلاحقونه الآن.
They are.	بلى
How is this all gonna end?	كيف سينتهي كل هذا؟
This is an end.	هذه نهاية.
And then something new will begin.	حينها سيبدأ شيء جديد
You deserve the best in life, Lizzy.	أنت تستحقين أفضل ما في الحياة (ليزي).
I know that sounds odd coming from a man who has brought you some of the worst,	أعلم أن هذا يبدو غريبا أن يأتي من رجل جلب لك بعض أسوأ الأشياء،
but it's the reason why Tom had to work so hard to be that for you...	لكن هذا هو سبب عمل (توم) جاهدا ليكون هكذا بالنسبة لك...
To be kind, to be thoughtful, make you laugh, to make you love him.	ليكون رحيما، طيب القلب، يجعلك تضحكين، يحعلك تحبينه.
Because you deserve that.	لأنك تستحقين ذلك.
And it will come.	وسيأتي ذلك.
You don't get them girls loose loose	انت لا تحصل على بنات طليقات
(TJR!	(تي جي ار!
)	)
You don't get the world loose loose	انت لا تحصل على عالم طليق
You don't get money move move	انت لا تنفق مالك
But I do I do	لكن انا افعل
You don't get them girls loose loose	انت لا تحصل على بنات طليقات
You don't get the world loose loose	انت لا تحصل على عالم طليق
You don't get money move move	انت لا تنفق مالك
But I do I do	لكن انا افعل
I said, y'all having a good time out there	انا قلت, انتم جميعآ تقضون وقت جيد هناك
Yeah, yeah, que no pare la fiesta	نعم, نعم, انه العيد
Don't stop the party	لا توقف الحفلة
Yeah, yeah, que no pare la fiesta	نعم, نعم انه العيد
Don't stop the party	لا توقف الحفلة
I'm running through the world like I'm running back	اعبر العالم مثل ما اعود
Scarface, world's mine, running back 30, 000 people went here on me	سكارفايس, العالم ملكي, عدت مسرعآ 30000شخصنا هنا من اجلي
80, 000 in london wembley 90, 000 morocco, and I'm just getting warmed up, papo	80000في لندن 90000في المغرب, وانا فقط اصبح حامي, حبيبتي
Catch me with redone in stockholm, beirut, cafe getting my drink on, mole	امسكني مع روندون في إستوكهولم, بيروت, القهوى شرابي, مولي
We're how to put the women, here the hooka	نحن وضعنا النساء, هنا الجاذبية
All of them sweet, azucar, azucar Dale disfruta They can't, they won't, they never will, stop the party	كلهم جميلون هم لا يستطيعون, هم لا يريدون, هم لن يوقفون, اوقف الحفلة
They can't, they won't, they never will, stop the party	هم لا يستطيعون, هم لا يريدون, هم لن يوقفون, اوقف الحفلة
I said, y'all having a good time out there	انا قلت, انتم جميعآ تقضون وقت جيد هناك
Yeah, yeah, que no pare la fiesta	نعم, نعم, انه العيد
Don't stop the party	لا توقف الحفلة
Yeah, yeah, que no pare la fiesta	نعم, نعم, انه العيد
Don't stop the party	لا توقف الحفلة
I'm from the city, where they stress, and they sleep real bad	انا من مدينة, حين يشددون, ينامون بصورة سيئة
And now I'm doing shows in helsinki	والان اعمل في معارض هيلسكي
I know what ya'll thinking, you're thinking, that you can outhiking, but you can't frankly	اعلم بما تفكرون جميعآ, انتم تفكرون, بأنكم يمكن ان تخرجوه من تفكيركم, لكنكم لا تستطيعون بصراحة
I'm out for the benchies, frankies, chinos	انا خارج من اجل العاهرات, بصراحة, الصينيات
Just cause you ain't me, don't hate me	فقط بسبب انت لست انا, لا تكرهني
As a matter fact you should thank me	بالحقيقة انتة يجب ان تشكرني
Even if you don't, joel come yankees Zig-a zig-a zig-a zig-a Who got the key of the world, now, yours truly	حتى اذا انتة لا تفعل, سيأتون اليانكيين من الذي حصل على مفتاح العلم, الان انت المخلص
They can't, they won't, they never will, stop the party	هم لا يستطيعون, هم لا يريدون, هم لن يوقفون, اوقف الحفلة
They can't, they won't, they never will, stop the party	هم لا يستطيعون, هم لا يريدون, هم لن يوقفون, اوقف الحفلة
I said, y'all having a good time out there	انا قلت, انتم جميعآ تقضون وقت جيد هناك
Yeah, yeah, que no pare la fiesta	نعم, نعم, انه العيد
Don't stop the party	لا توقف الحفلة
Yeah, yeah, que no pare la fiesta	نعم, نعم, انه العيد
Don't stop the party	لا توفق الحفلة
I'mma give it to ya, ah ah	انا اعطيه اليك
Now give it to me, ah ah	الان اعطيه لي
I'mma give it to ya, ah ah	انا اعطيه اليك
Now give it to me, ah ah	الان اعطيه لي
I'mma give it to ya, ah ah	انا اعطيه اليك
Now give it to me, ah ah	الان اعطيه لي
Get funky, get funky	أٌصبح غير تقليدي, يُصبح غير تقليدي
Now stop!	! الان توقف
I said, y'all having a good time out there	انا قلت, انتم جميعآ تقضون وقت جيد هناك
Yeah, yeah, que no pare la fiesta	نعم, نعم انه العيد
Don't stop the party	لا توقف الحفلة
Yeah, yeah, que no pare la fiesta	نعم, نعم انه العيد
Don't stop the party	لا توقف الحفلة
Yeah, yeah, que no pare la fiesta	نعم, نعم, انه العيد
Don't stop the party	لا توقف الحفلة
Yeah, yeah, que no pare la fiesta	نعم,نعم, انه العيد
Don't stop the party	لا توقف الحفلة
Yeah, yeah, que no pare la fiesta	نعم,نعم, انه العيد
Don't stop the party	لا توقف الحفلة
Yeah, yeah, que no pare la fiesta	نعم,نعم, انه العيد
Don't stop the party	لا توقف الحفلة
For the first few nights of his new presidency,	‫في أول بضع ليالي ‫بعد منصبه الرئاسي الجديد
Theodore Roosevelt slept at the home of his sister, Bamie, at 1733 N street, while the widow of his murdered predecessor, William McKinley, packed up to leave Washington.	‫نام "ثيودور روزفلت" ‫في منزل أخته "بامي" في شارع "1733 إن". ‫بينما قامت أرملة سلفه المقتول "ويليام ‫ماكينلي" بحزم أمتعتها لمغادرة "واشنطن".
But every morning at 8:30, he started toward his office in the executive mansion 10 blocks away, while his secretary struggled to keep up.	‫ولكن كل صباح الساعة الثامنة والنصف ‫بدأ يمشي صوب مكتبه ‫في المبنى التنفيذي على بعد مسافة 10 جادات ‫بينما حاول مساعده اللحاق به بصعوبة.
His first night there was to be September 23, 1901, and since his wife and children had not yet arrived, he asked his sisters Bamie and Corinne and their husbands to join him for dinner.	‫كانت أول ليلة له هناك ‫في 23 سبتمبر 1901 ‫وبما أن زوجته وأولاده لم يصلوا بعد ‫طلب من أختيه "بامي" و"كورين" ‫وزوجيهما الانضمام إليه للعشاء.
The day before had been the birthday of the man whose memory meant the most to him...	‫في اليوم السابق، ‫كان عيد ميلاد شخص ذكراه
his father, Theodore Roosevelt, senior.	‫عنت أكثر شيء بالنسبة إليه، ‫والده "ثيودور روزفلت" الأب.
"What would I not give if only he could have lived to see me here in the White House, " the President said.	‫قال الرئيس، "كنت لأضحي ‫بأي شيء ليكون على قيد الحياة ليراني ‫هنا في (البيت الأبيض)".
Then he noticed that the flowers on the dinner table were Saffronia roses, the same variety his father had worn every day in his buttonhole.	‫ثم لاحظ أن الأزهار على مائدة العشاء ‫كانت أزهار "سافرونيا" الصفراء، ‫النوع ذاته الذي ارتداه والده ‫كل يوم في فتحة أزراره.
"I feel as if my father's hand were on my shoulder, " Roosevelt said, as if there were a special blessing	‫قال "روزفلت"، "أشعر بأن ‫يد أبي كانت على كتفي،
"over the life I am to lead here."	‫كأن هناك مباركة مميزة ‫للحياة التي سأحييها هنا."
The man and the moment were perfectly met.	‫كان الرجل واللحظة ‫التي ظهر بها متساويين تماماً.
This was America at the turn of the... what was to become and Americans already felt it...	‫كانت هذه "أمريكا"، وما ستصبح عليه ‫وكان الأمريكيون يشعرون بهذا، ‫القرن الأمريكي.
Telephones, internal combustion engines, airplanes, all kinds of stuff.	‫كانت العلوم في الهواء، ‫الهاتف، ومحركات الاحتراق الداخلي ‫والطائرات، وأشياء مختلفة أخرى.
And here came this, this man who was called a steam engine in trousers.	‫وها قد أتى هذا الرجل الذي ينعتونه ‫بلقب "المحرك البخاري في سروال".
He just embodied the moment.	‫وكان تجسيداً تاماً لذلك الوقت.
Roosevelt has the knack of doing things and doing them noisily, clamorously.	‫كانت لدى "روزفلت" نزعة الإنجاز ‫وكان يفعل هذا بشكل مزعج وصارخ
While he is in the neighborhood, the public can no more look the other way than the small boy can turn his head away from a circus parade followed by a steam Calliope.	‫عندما كان في الحي، لم يتمكن الناس ‫من إبعاد ناظريهم عنه كالطفل الصغير ‫غير القادر عن غض النظر عن موكب ‫السيرك الذي تتبعه عربة بخارية موسيقية.
Theodore Roosevelt would prove to be a brand-new kind of President for a brand-new century.	‫سيتضح أن "ثيودور روزفلت" ‫نوع جديد من الرؤساء في قرن جديد.
But at first, no one knew precisely in which direction Roosevelt would lead his parade.	‫ولكن في البداية، لم يعلم أحد ‫الوجهة التي سيقود فيها "روزفلت" موكبه.
In the decades after Abraham Lincoln, most American presidents had been content to be caretakers.	‫ففي العقود التي تلت "إبراهام لينكولن" ‫معظم الرؤساء الأمريكيين ‫اكتفوا بالاعتناء بالشعب.
Real power lay with the congress, with the party machines that controlled what did and did not happen on capitol hill, and with the financial giants whose power grew steadily and whose orders many senators followed without a second thought.	‫وكمنت القوة الحقيقية مع الكونغرس ‫والآلات الحزبية ‫التي تحكمت بما حدث أو لم يحدث ‫في "كابيتول هيل"، ومع العمالقة الماليين ‫الذين ازدادت سلطتهم بثبات
"I did not care a rap for the form and show of power, " Roosevelt remembered.	‫"لم أكترث على الإطلاق لشكل السلطة ‫وطريقة عرضها" كما تذكر "روزفلت"،
"I cared immensely for the use that could be made of the substance."	‫"بل اكترثت كثيراً للفائدة التي ‫يمكن حصدها من المادة ذاتها."
One admirer hailed him as "a stream of fresh",	‫وصفه معجب بأنه "تيار نقي من ‫الهواء العليل من الجبال والذي أرسل لتنقية
"pure bracing air from the mountains, sent to clear the fetid atmosphere of the national capital."	‫الأجواء النتنة في عاصمة البلاد."
But the novelist Henry James dismissed him as	‫لكن الروائي "هنري جايمس" ‫قلل من شأنه على أنه...
"the monstrous embodiment of unprecedented and resounding noise."	‫"التجسيد الوحشي لشيء غير مسبوق ‫ولا مثيل له وهو الضجيج". ‫"العقيد"
"You must always remember, " his friend the French ambassador warned,	‫حذره صديقه السفير الفرنسي قائلاً ‫"عليك أن تذكر دائماً
"that the President is about 6."	‫أن معدل ضجيج الرئيس ‫يصل إلى 6".
I'm no orator, and in writing, I'm afraid I'm not gifted at all.	‫"لست بالخطيب ولست موهوباً جداً ‫بالكتابة أيضاً
If I have anything at all resembling genius, it is the gift of leadership.	‫وإن تمتعت بشيء يقارب العبقرية ‫فهو في موهبة القيادة."
He was the youngest President in history, just 42;	‫كان أصغر رئيس في التاريخ، ‫عمره 42 عاماً فقط
the first to have been born in a city;	‫أول من يولد في مدينة،
The first to be known by his initials... t.R.	‫والأول الذي يعرف ‫بأحرف اسمه الاستهلالية، "تي آر"
He was an author and naturalist, bird-watcher and big-game hunter, historian and expansionist, moral crusader and shrewd politician.	‫كان مؤلفاً ومحباً للطبيعة ‫ومراقباً للطيور ‫ويحب صيد الحيوانات ‫ومؤرخاً وتوسعُي المذهب ‫ومحارباً أخلاقياً وسياسياً محنكاً.
And he was also a proud husband and father whose 6 boisterous children transformed the dark, formal executive mansion into a giant playhouse overnight.	‫وكان كذلك زوجاً ووالداً فخوراً ‫حيث حول أولاده الستة الأشقياء ‫الظلام والرسمية ‫في القسم التنفيذي إلى بيت ضخم ‫للعب في ليلة وضحاها.
He is a hyperactive adult, is what Theodore Roosevelt is, but the man is brilliant.	‫كان رجلاً كثير النشاط، ‫هذا ما كان عليه "ثيودور روزفلت" ‫لكن الرجل بالغ الذكاء.
I think he's very close to a genius, if there is such a thing as a genius.	‫أعتقد أنه قارب العبقرية ‫إن كان هناك شيء يدعى بالعبقرية
Of all the presidents of the United States.	‫من بين جميع رؤساء "الولايات المتحدة"
He could speed-read before anybody knew the expression, let alone how to do it, and quote from what he'd read 5 years later.	‫كان بإمكانه القراءة بسرعة ‫قبل اشتهار هذا المصطلح ‫ولم يكن يعرف أحد كيف يقوم بالأمر ‫وكان يقتبس مما قرأه بعد 5 سنوات.
He spoke a variety of languages terribly, almost incomprehensibly in some cases, but that didn't slow him down.	‫تحدث مجموعة لغات بشكل رديء ‫وفي بعض الأحيان، ‫بشكل لا يمكن فهمه ‫لكن هذا لم يؤخر تقدمه.
The first President to go down in a submarine;	‫كان أول رئيس ينزل داخل غواصة
The first President to leave the country during the course of his time in office;	‫وأول رئيس يغادر البلاد ‫خلال فترة حكمه
The first President to send a transatlantic cable for the purposes of diplomacy;	‫وأول رئيس يرسل برقية عبر الأطلسي ‫لأهداف دبلوماسية
The first President to own an automobile;	‫وأول رئيس يمتلك سيارة
And more important than all of those, the first President to win the nobel peace prize;	‫والأهم من هذه الأشياء كلها ‫كان أول رئيس يفوز بجائزة "نوبل" للسلام
And greater still the first President ever to invite an African American to dine with him in the White House.	‫والأعظم من هذا أيضاً ‫أنه أول رئيس على الإطلاق ‫يقوم بدعوة أمريكي من أصل إفريقي ‫لتناول العشاء معه ‫في "البيت الأبيض".
And that's a short list.	‫وهذه قائمة صغيرة.
He had pledged to "continue, absolutely unbroken, the policy of President McKinley, "	‫تعهد أن يكمل دون إحباط ‫سياسة الرئيس "ماكينلي".
but he also had a reputation for independence and unpredictability.	‫لكنه عرف أيضاً باستقلاليته ‫وصعوبة توقع تصرفاته.
He had been taught by his father to view the world in terms of right and wrong...	‫علمه والده أن ينظر إلى العالم ‫من منظور الصواب والخطأ
And to see himself always as the defender of the right.	‫وأن ينظر لنفسه دائماً ‫على أنه المدافع عن الصواب.
He carried a pulpit around with him.	‫كان يحمل منصة خطاب معه.
He really was... this bully pulpit was an appendage.	‫وكانت هذه المنصة جزءاً منه.
He was a moralist first, last and always and not one racked by doubts.	‫كان أخلاقياً في المنزلة الأولى ‫والأخيرة وطوال الوقت ‫وليس بشخص تثقله الشكوك.
He also understood modern technology.	‫كان يفهم التكنولوجيا المعاصرة أيضاً.
He understood the cycles of the newspaper business.	‫كان يفهم دورات أعمال الصحف.
He understood that he could claim center stage if he wanted to.	‫فهم أن بإمكانه التزام وسط المسرح ‫إن أراد فعل ذلك
And by claiming center stage he could get his message out to the American people in a way previous presidents often had not bothered to.	‫وبفعل هذا يمكنه إيصال رسالته ‫للشعب الأمريكي بطريقة مختلفة ‫عن الرؤساء الآخرين الذين لم يسعوا لفعلها.
Among those waiting most eagerly to see what Theodore Roosevelt would do were two young members of his own clan...	‫من بين أكثر التواقين لرؤية ماذا سيفعل ‫"ثيودور روزفلت" كان فردان صغيران من عشيرته
His orphaned niece, Eleanor, just 16, studying in england and following his activities in the newspapers, and his young fifth cousin, Franklin, a student at Harvard but already intrigued by the idea of following into politics,	‫ابنة أخيه اليتيمة "إلينور"، ‫عمرها 16 عاماً ‫وتدرس في "إنجلترا" وتتبع نشاطاته في الصحف ‫وابن عمه الخامس الشاب "فرانكلين"،
the man his mother called "your noble kinsman."	‫وهو طالب في "هارفارد" ‫وهو مهتم بفكرة اتباع السياسة ‫كالرجل الذي دعته والدته ‫"قريبك النبيل".
It was from Teddy Roosevelt that the American people first got their sense of political excitement from the President.	‫كان عن طريق "تيدي روزفلت" ‫قد حصل الشعب الأمريكي لأول مرة ‫على حسه للحماسة السياسية ‫من الرئيس.
They've looked for many things from Washington... competence, leadership, help.	‫كانوا ينتظرون أشياء كثيرة ‫من "واشنطن" كالكفاءة والقيادة والمساعدة.
But excitement?	‫ولكن الحماسة؟ ‫هذه تسلية.
October 17, 1901, the "Atlanta Constitution."	‫7 أكتوبر 1901، ‫صحيفة "أتلانتا كونستيتوشن"
Tonight, just before 8:00, a negro in evening dress presented himself at the White House door, and, giving his name, said that he was to dine with the President.	‫الليلة قبل الساعة الثامنة ‫زنجي بملابس رسمية ‫قدم نفسه أمام باب "البيت الأبيض" ‫وبإعطاء اسمه قال إنه سيتعشى مع الرئيس.
Booker Washington has made several visits to the White House and his face is known there, so he was at once admitted into the private apartment.	‫"بوكر واشنطن" زار "البيت الأبيض" ‫عدة مرات وكان وجهه مألوفاً ‫ولهذا أدخلوه إلى الشقة الخاصة في الحال.
Within hours of becoming President, Roosevelt had wired booker t.	‫بعد ساعات على توليه منصب الرئاسة ‫أرسل "روزفلت" برقية لـ"بوكر تي واشنطن"
President of the tuskegee institute and the most powerful black man in America, asking him to come and see him.	‫رئيس معهد "تاسكيغي" ‫وأكثر رجل أسود نافذ في "أمريكا" ‫طالباً منه أن يأتي ويقابله.
Each man wanted something from the other.	‫أراد كل منهما شيئاً من الآخر.
Negro citizens had been brutally and systematically disenfranchised throughout the South.	‫تعرض المواطنين الزنوج بعنف وبشكل ‫نظامي لسلب حقوقهم في الجنوب.
