אני אגיד לך...	I will tell you...
אל תירי אלא אם את חייבת.	Don't shoot unless you have to.
אני הולך לגלות.	I'm going to find out.
- קח את האקדח.	- Take the gun.
קודם אתה,	You go first!
קדימה, ורה!	Come on, Vera!
אחת, שתיים, שלוש.	One. Two. Three.
מי שם?	Who's there?
לומבארד!	Lombard!
-איפה?	- Where?
אני קולט את זה!	I get it!
אבל חשבתי שזה אתה.	But I thought it was you.
-בדיוק.	- Exactly.
-מה קרה? זיהו אותי.	- What is it?
-לא יודע. התאוריה שלי?	- Oh, I don't know.
כן, אני יודע למה את מתכוונת.	Yes, I know what you mean.
בקרוב נגלה .	We'll soon find out.
מה את רואה?	What do you see?
מה זה?	What is it?
- זה בלתי אפשרי.	- It's impossible!
- תן לי לראות.	- Let me see!
המשך להילחם.	What is it? What is it?
ספרי לי.	Tell me.
תראו!	Look!
- מזה שעות?	- For hours?
אתה.	- You.
- ואתה.	- And you.
אל תתקרב!	Don't come any closer!
מה שמך?	- What is your name?
חייב להיות הסבר.	There's got to be an explanation.
כן, זהו!	Yes, that's it!
או, זה נלקח בחשבון.	Oh, that's been taken care of.
עשר?	Ten?
מה התעלומה?	Why did you?
בוקר טוב, בוקר טוב.	Good morning.
תקרא להם.	You call them.
תודה, אדוני.	Thanks, mister.
רוצה משהו?	- Want anything else?
-לא!	- No.
מה זה צריך להביע?	Hey, you!
-אני?	- Me?
מזרח.	East.
לוס אנג'לס?	LA?
אולי.	- Maybe.
- מה את שחה.	- You don't say.
אתה לא אוהב לדבר, נכון?	You're not much of a talker, are you?
כבה!	Turn it off!
אלו היו ימים טובים!	Those were the days.
-נלך הביתה. -אוף...	- Let's go home.
-אני לא מבינה.	- I don't get you.
אבל לא עכשיו.	But not now.
אולי.	- Maybe.
אבל מה איתי?	But what about me?
חשבתי שאתה אוהב אותי.	- I thought you loved me.
להתראות.	So long.
45 הטב... בטח, למה לא?	Sure, why not?
לילה טוב.	Good night.
-עשר דולר .	Ten bucks.
תודה.	Thanks.
מה זה היה?	What was it?
Long Distance.	Long distance.
באמת?	You do?
כן.	Yeah.
כסף.	Money.
אתה יודע מה זה?	You know what that is.
עד כמה רחוק את צריכה?	- How far are you going?
-לוס אנג'לס.	- L.A.
מאיפה אתה בא?	- Where are you coming from?
לניו יורק.	- New York.
אוגוסטו!	What an animal!
כן.	Yeah.
טעיתי?	Was I wrong?
-שני מיליון .	- Two million.
כן, אני רואה.	Yeah, I can see that.
זו הייתה תקופה קשה.	That was tough.
-אכלתי.	I ate.
-מה דעתך על זה?	- How do you like that?
רוצה משהו?	- Want anything else?
העודף שלך, אדוני.	Your change, sir.
התקשר שוב.	Call again.
נפגעת?	Are you hurt?
אני אקשיב לזה.	I'll listen to it.
‫לא רק זה.	Not only that.
איבדתי תחושת זמן.	I lost all track of time.
-לא!	- No.
לא.	No ...
מאוחר יותר.	Later.
היתה שם אשה.	There was a woman.
ל', תורך.	- Los Angeles.
מזה חששתי.	- That's what I was afraid of.
-מה אמרת?	- What did you say?
-לא!	- No.
-לא!	- No.
אתה לא עובד על אף אחד.	You're not fooling anyone.
-שמעת אותי .	- You heard me.
לא היה כל ספק בכך.	There was no doubt about it.
קדימה, אני מחכה.	Well, I'm waiting.
ובכן?	Well?
-אלה החיים .	That's life.
-אף אחד.	Not that I know of.
-תשתוק.	- Shut up.
אני לא אוהב אותך.	I don't like you.
אני לא רוצחת.	- I'm not a murderer.
-תתגברי על זה.	- Oh, skip it.
-למה אתה מתכוון ?	- What do you mean?
מעולם לא חשבתי על זה.	I never thought of that.
אני לא רוצה שתלך לאיבוד.	I don't want you to get lost.
תודה.	Thanks.
כמה זמן זה יקח?	I'm relieved.
כן.	Yep.
-כן !	- OK.
המצאתי את זה.	I invented it.
ואתה חולה, אין ספק בכך.	You must be.
זה עולה לי על העצבים.	It gets on my nerves.
שכחי מזה.	Forget it.
שתה משהו.	Have a drink.
אתה לא הרגת אותו.	You didn't kill him.
תודה.	Thanks.
אולי את צודקת.	- Maybe you're right.
אני תמיד צודק.	- I'm always right.
- כן, בודאי.	Sure is.
זה מקצוע.	It's a profession.
תחשוב על זה.	Think of that.
נמאס לי לחשוב.	I'm tired of thinking.
אני יודע על מה אני מדבר.	I know what I'm talking about.
זו רק שאלה של מתי.	It's only a question of when.
כן.	Yeah.
מחבב אותך?	Like you?
אני אוהבת אותך.	I love you.
לא, לא. גם את.	I'm going to bed.
תשתקי.	Shut up.
קדימה.	Come on.
אציע לך 4 מיליון.	I want to buy it.
-אם המחיר מתאים...	- If the price is right.
כן.	- Yup.
-אז...	- Well ...
לשנות את דעתך?	Change your mind?
בוא נלך.	- Let's go.
תודה לך.	Thank you.
קח, תציץ בזה.	Take a look at that.
-כן, אתה תחיה.	- Yes, you will.
את חושבת שהשתגעתי?	You think I'm crazy?
סילחו לי.	Excuse me.
ולא אעשה את זה.	And I won't do it.
אני חושב שאתה תעוף.	I think you will.
מס	No.
אולי.	Maybe. Maybe.
כן.	- Yeah.
בסדר אם כך.	Alright, then.
מודיעין?	Information?
תודה.	Thanks.
-אז מה?	- So what?
- ורה!	- Vera!
בסדר.	Alright.
את מבינה... - אל תספר לי.	- Don't tell me.
ורה!	Vera!
נכון שזה מצחיק?	Isn't that a laugh?
בסדר גמור.	Very well.
כריס.	Chris.
ברכות.	Congratulations.
תודה	- Thank you.
תודה	- Thank you.
תודה לך.	Thank you.
תודה לך.	Thank you.
לילה טוב.	Good night.
תראו.	Look.
מה מצאת?	What do you find?
שתיתי יותר מדי.	I drank too much.
לילה טוב.	Good night.
-לא, חכה, חכה.	- No, wait, wait.
הסוכן!	Agent!
הסוכן!	Agent!
-שם.	- Over there.
-אני לא יודע איך .	- I don't know it.
‫חכה כאן.	Wait here.
אנחנו הולכים לשם. נלך לשם.	We go there.
"הלו, קיטי." (דמות מצויירת)	Hello, Kitty.
ראיתם את ג'וני?	Have you seen Johnny?
פעמיים קפה, בבקשה.	Two coffees, please.
רק אחד?	Only one?
-כן, כן .	- Yes, yes.
תודה לך.	Thank you.
קיטי.	Kitty.
בקצרה,	In short...
היית מאמינה?	Do you believe?
-אני?	- Me?
-לא!	- No.
ובכן...	Well...
כן.	Yes.
לא, לא, לא.	No, no, not.
מה השעה?	What time is it?
תודה לך.	Thank you.
כריסטופר.	Christopher.
אשתי... תסתלק!	My wife...
מס	No.
-כן.	- Yes.
זה היה נורא.	It was terrible.
חמש שנים.	Five years.
ו...	And...
את רוצה אחד?	Do you want one?
-עלייך.	- Of you.
אתה רואה אותו?	Do you see it?
ג'וני.	Johnny!
זה בכיוון הזה.	It is this way.
מס	No.
כן, אני מבין.	Yes, I understand.
אתה כבר יודע.	You already know.
באמת!	Interesting.
-שכח מזה .	- Forget it.
קיטי, בבקשה.	Kitty, please.
כריס!	Chris!
אני חייב לספר לך משהו.	I have to tell you something.
מה?	- What?
רימיתי אותך.	I have deceived you.
כמה את צריכה?	How much do you need?
לא, תודה.	No, thank you.
תודה לך.	Thank you.
אתה שתית?	Have you been drinking?
כריסטופר.	Christopher.
כריסטופר.	Christopher.
מה את מכינה?	What are you making?
אתה עיוור?	Are you blind?
מה מהם?	- Which?
כמובן.	Of course.
-אישה !	- Woman!
כאן.	- Here.
כן או לא?	Is he?
בואו.	Go...
ויסקי	Whisky?
סע!	Go, go, go...
ייתכן.	It could be.
כריס!	Chris!
הדואר שלך.	You have company.
ג'וני.	Johnny...
מה המצב?	How is it?
כן.	Yes.
אולי.	Perhaps.
האם את שמחה?	Are you happy?
אלף דולר?	A thousand dollars?
למה לא?	Why not?
כן, אני מכיר אותה.	Yes, I know it.
-אני אשיג.	- I will get it.
-להתראות.	- Good-bye.
אני לא מבינה את זה.	I don't understand it.
אתה לא אוהב אותי.	You don't love me.
לא?	No?
-לא!	- No.
ועכשיו, מה?	And now, what?
לילה טוב.	Good night.
שלום, ניק.	Hello, Nick.
טעים?	Are they good?
זה חשוב?	Is it important?
ניק.	Nick.
איזה מוזיאון?	What museum?
לכל הרוחות!	My God.
